    -1.413     1.814    -0.013    -0.227    -0.650     0.001     0.983     0.017     0.000     0.000     0.000     2.000
     0.996    -0.934     0.781     1.554     5.627     0.000     0.000     0.000     0.000     0.000     1.000     6.000
    -0.318     0.406     0.781     0.960    -0.080     0.009     0.958     0.033     0.000     0.000     0.000     2.000
     0.996    -0.264     1.045     0.367     1.918     0.001     0.047     0.229     0.670     0.054     0.000     4.000
    -0.975     1.143     1.045    -0.672     1.062     0.000     0.354     0.625     0.021     0.000     0.000     3.000
     0.996    -0.666    -1.071     0.960    -0.080     0.738     0.246     0.011     0.000     0.005     0.000     1.000
     0.558    -0.063    -0.013     0.664    -0.936     0.314     0.629     0.054     0.000     0.003     0.000     2.000
     2.091    -2.542     2.632    -0.820    -0.080     0.001     0.000     0.861     0.017     0.120     0.000     3.000
     0.777    -1.269     0.781     0.070    -0.650     0.255     0.068     0.664     0.000     0.014     0.000     3.000
    -0.975     0.339     0.252     1.702     0.206     0.005     0.994     0.001     0.000     0.000     0.000     2.000
     1.215     0.138    -1.600    -0.523    -0.080     0.462     0.297     0.197     0.000     0.044     0.000     1.000
    -0.099     0.942     0.781    -0.672     1.062     0.000     0.211     0.756     0.030     0.002     0.000     3.000
    -2.728     0.473    -0.542    -0.969    -0.365     0.004     0.854     0.142     0.000     0.000     0.000     2.000
     0.339    -1.068    -1.335     0.515    -0.936     0.933     0.062     0.005     0.000     0.000     0.000     1.000
     0.339    -0.666    -0.542     0.515    -0.365     0.538     0.397     0.064     0.000     0.001     0.000     1.000
     0.120    -0.197    -0.542     0.070     0.491     0.096     0.666     0.236     0.000     0.002     0.000     2.000
    -0.537     1.277     0.781     0.218     0.206     0.001     0.923     0.076     0.001     0.000     0.000     2.000
     0.120    -1.537    -0.277     0.218    -0.365     0.721     0.112     0.166     0.000     0.001     0.000     1.000
    -0.756    -1.202     0.781    -0.078    -1.506     0.326     0.191     0.482     0.000     0.000     0.000     3.000
     0.339    -0.800    -0.277     0.664     0.491     0.275     0.578     0.144     0.000     0.004     0.000     2.000
     1.653     0.138     0.252     0.070     0.491     0.022     0.131     0.312     0.005     0.530     0.000     5.000
     0.339     0.607    -0.542     0.367     0.491     0.025     0.918     0.055     0.000     0.003     0.000     2.000
    -0.318    -0.934    -0.277     0.367    -0.365     0.426     0.447     0.126     0.000     0.000     0.000     2.000
    -0.756    -0.867     0.516    -1.117     0.491     0.002     0.019     0.978     0.000     0.000     0.000     3.000
    -0.318    -2.207    -0.013    -0.672     1.062     0.035     0.011     0.953     0.000     0.000     0.000     3.000
    -0.756    -0.264    -1.600     1.257    -1.791     0.681     0.318     0.000     0.000     0.000     0.000     1.000
     0.339     1.076    -0.013     0.515    -0.080     0.010     0.957     0.030     0.000     0.002     0.000     2.000
     0.120    -0.398     1.310    -0.227     2.203     0.000     0.013     0.309     0.677     0.001     0.000     4.000
     0.558     0.808     0.252    -0.672     0.491     0.003     0.239     0.738     0.003     0.017     0.000     3.000
