     0.339    -1.805    -0.542    -0.672    -1.506     0.823     0.017     0.161     0.000     1.000
     1.653    -0.264    -0.013     0.960    -1.221     0.481     0.467     0.052     0.000     1.000
    -0.318    -1.269     1.045    -0.672     0.776     0.001     0.015     0.983     0.000     3.000
     0.339     1.411     0.516    -0.375     1.347     0.000     0.488     0.500     0.013     3.000
    -0.975     0.406     1.045    -0.375     0.776     0.000     0.304     0.694     0.001     3.000
     0.339     0.004    -1.071     0.664    -0.365     0.246     0.737     0.017     0.000     2.000
    -2.290     1.881    -0.277     0.960     0.491     0.000     0.999     0.001     0.000     2.000
     0.558    -1.001    -0.013    -1.265     0.206     0.010     0.012     0.978     0.000     3.000
     2.529     1.076     1.045    -0.672     1.062     0.000     0.031     0.909     0.059     3.000
    -0.099     0.406     0.252    -0.672     0.491     0.003     0.258     0.740     0.000     3.000
     2.310    -0.532     0.252    -0.672     0.491     0.008     0.019     0.973     0.000     3.000
     0.339     1.143    -1.071     1.702    -1.221     0.053     0.947     0.000     0.000     2.000
    -0.318    -0.465    -0.806    -0.523     1.062     0.041     0.378     0.581     0.000     3.000
    -2.071     2.015    -0.277     1.702    -0.080     0.000     1.000     0.000     0.000     2.000
    -2.071     1.814     0.781     1.405     0.776     0.000     0.999     0.001     0.000     2.000
     1.434    -0.331    -1.335    -0.672     0.491     0.230     0.213     0.557     0.000     3.000
    -0.099     0.004     1.045    -1.117     0.491     0.000     0.022     0.977     0.000     3.000
    -0.756     0.674    -0.277     0.960    -0.650     0.016     0.978     0.005     0.000     2.000
    -2.071     0.406    -2.393     0.515    -0.080     0.088     0.911     0.001     0.000     2.000
    -0.537     0.674    -1.600     0.812     0.491     0.027     0.970     0.003     0.000     2.000
     0.558    -0.264     2.368     0.515     1.347     0.000     0.034     0.372     0.595     4.000
     0.120    -0.331    -1.071    -0.969    -0.080     0.154     0.240     0.606     0.000     3.000
     0.120    -1.135    -0.542     0.515    -0.365     0.605     0.315     0.080     0.000     1.000
     1.872    -1.135    -0.806     0.218    -0.936     0.903     0.047     0.050     0.000     1.000
     0.777     0.339     0.516     1.702     0.776     0.006     0.976     0.018     0.001     2.000
     3.405    -0.867     1.045    -0.672    -0.365     0.006     0.003     0.991     0.000     3.000
     0.339    -0.130     0.252     0.367     1.062     0.011     0.605     0.383     0.002     2.000
    -0.318    -0.130    -0.013     0.812    -0.650     0.089     0.874     0.038     0.000     2.000
    -0.318    -1.537     0.781     0.367     1.347     0.015     0.156     0.822     0.007     3.000
     0.996    -0.666     1.574     0.367    -0.365     0.012     0.133     0.854     0.000     3.000
     1.434    -1.872    -0.013    -1.265     0.776     0.009     0.002     0.989     0.000     3.000
    -1.413     0.808    -0.013    -0.078    -0.080     0.003     0.923     0.074     0.000     2.000
    -1.632     1.545    -0.806     1.109    -0.080     0.001     0.998     0.000     0.000     2.000
     0.120     0.473    -0.806     1.257    -0.080     0.043     0.953     0.004     0.000     2.000
    -1.194     1.680     0.252     0.664    -1.221     0.001     0.995     0.004     0.000     2.000
    -0.318     0.272     1.045    -0.672     0.776     0.000     0.096     0.902     0.001     3.000
    -0.537     0.942     0.781     1.702     0.491     0.001     0.995     0.004     0.000     2.000
    -1.413     0.406    -0.277     1.405    -0.650     0.017     0.982     0.001     0.000     2.000
     0.996    -0.532     0.516     1.109     0.206     0.083     0.741     0.177     0.000     2.000
    -0.318     0.406    -0.277     1.554    -0.650     0.035     0.963     0.002     0.000     2.000
     0.777    -1.068     0.516    -0.672    -0.936     0.061     0.034     0.906     0.000     3.000
    -0.756     1.545    -0.277     0.664     0.776     0.000     0.992     0.007     0.000     2.000
    -0.099     0.205    -0.806     0.515     0.491     0.040     0.923     0.037     0.000     2.000
     0.120    -0.934    -2.393     1.109    -0.080     0.885     0.115     0.000     0.000     1.000
    -0.537     1.948     0.252     0.515    -0.936     0.001     0.992     0.007     0.000     2.000
    -1.194     0.607    -0.277    -0.375    -0.080     0.009     0.837     0.154     0.000     2.000
    -0.537     1.076    -0.806    -0.078    -0.080     0.010     0.955     0.035     0.000     2.000
     1.434    -0.331     1.045    -0.227     0.206     0.004     0.055     0.940     0.001     3.000
    -0.975     1.009     0.516    -0.672     0.491     0.000     0.493     0.506     0.000     3.000
     0.339    -0.532    -1.335     0.218    -1.791     0.894     0.100     0.006     0.000     1.000
    -0.537    -0.063     1.574    -0.523     1.062     0.000     0.050     0.939     0.011     3.000
    -0.099     0.473    -2.129     0.664    -0.080     0.188     0.809     0.002     0.000     2.000
    -0.975     0.138     1.045    -1.710     1.062     0.000     0.008     0.991     0.001     3.000
