    -0.099     0.339    -1.071     1.702    -0.080     0.016     0.000     0.984     3.000
    -0.537     0.205     0.252     0.515     0.206     0.030     0.026     0.944     3.000
     1.215     0.004     0.516    -1.414     0.491     0.453     0.543     0.004     2.000
     1.653     0.071    -0.013    -0.672     0.206     0.829     0.087     0.084     1.000
    -0.537    -1.135    -2.129     0.664    -2.647     0.897     0.000     0.103     1.000
     1.653    -1.604    -2.129     0.515    -2.077     0.992     0.000     0.008     1.000
    -0.756     0.071    -0.013     0.070    -0.080     0.036     0.086     0.879     3.000
     0.120    -1.135    -0.542    -0.078    -2.933     0.959     0.001     0.040     1.000
    -0.756     0.339     0.781    -0.969    -1.221     0.089     0.873     0.038     2.000
    -0.099    -0.666     0.516    -0.969    -1.221     0.180     0.795     0.025     2.000
     0.558    -2.140     0.252    -0.969    -0.080     0.359     0.633     0.009     2.000
     2.748    -1.269    -1.864    -1.117    -1.791     1.000     0.000     0.000     1.000
    -0.537    -0.197    -0.013    -0.078     0.776     0.099     0.319     0.582     3.000
    -0.099    -0.264    -1.071     0.070    -0.080     0.090     0.001     0.909     3.000
     0.339     0.875    -0.542     0.812    -0.080     0.019     0.000     0.981     3.000
    -0.975    -0.197    -0.542     0.664     0.206     0.017     0.001     0.983     3.000
    -0.099    -0.733     1.045    -1.414    -0.365     0.107     0.892     0.002     2.000
    -1.413     1.210    -1.071     0.070    -0.936     0.013     0.000     0.987     3.000
     0.777    -0.599    -0.277    -1.710    -2.362     0.991     0.008     0.001     1.000
    -1.194     1.411    -0.277     1.702    -0.080     0.003     0.000     0.997     3.000
     0.777    -1.872    -1.864     1.702     0.491     0.698     0.000     0.302     1.000
     0.777     0.674     3.161    -1.117     2.203     1.000     0.000     0.000     1.000
     0.558    -0.934     0.252    -1.710     0.206     0.300     0.699     0.002     2.000
    -1.194    -1.068     0.252    -0.820    -0.936     0.164     0.727     0.109     2.000
    -0.099     0.004     0.252     0.367    -0.365     0.056     0.046     0.898     3.000
    -0.975     0.607     1.045     0.515     0.491     0.072     0.071     0.857     3.000
    -0.537    -0.599     0.252    -0.672    -0.365     0.073     0.824     0.103     2.000
     0.558    -0.130     1.045    -0.969     1.918     0.377     0.622     0.001     2.000
    -1.413     1.814    -0.013    -0.227    -0.650     0.013     0.056     0.931     3.000
     0.996    -0.934     0.781     1.554     5.627     1.000     0.000     0.000     1.000
    -0.318     0.406     0.781     0.960    -0.080     0.041     0.004     0.954     3.000
     0.996    -0.264     1.045     0.367     1.918     0.946     0.028     0.026     1.000
    -0.975     1.143     1.045    -0.672     1.062     0.039     0.934     0.027     2.000
     0.996    -0.666    -1.071     0.960    -0.080     0.194     0.000     0.806     3.000
     0.558    -0.063    -0.013     0.664    -0.936     0.096     0.002     0.902     3.000
     2.091    -2.542     2.632    -0.820    -0.080     1.000     0.000     0.000     1.000
     0.777    -1.269     0.781     0.070    -0.650     0.645     0.158     0.197     1.000
    -0.975     0.339     0.252     1.702     0.206     0.012     0.000     0.988     3.000
     1.215     0.138    -1.600    -0.523    -0.080     0.783     0.000     0.217     1.000
    -0.099     0.942     0.781    -0.672     1.062     0.041     0.938     0.021     2.000
    -2.728     0.473    -0.542    -0.969    -0.365     0.201     0.014     0.785     3.000
     0.339    -1.068    -1.335     0.515    -0.936     0.235     0.000     0.765     3.000
     0.339    -0.666    -0.542     0.515    -0.365     0.094     0.002     0.904     3.000
     0.120    -0.197    -0.542     0.070     0.491     0.124     0.026     0.850     3.000
    -0.537     1.277     0.781     0.218     0.206     0.036     0.200     0.764     3.000
     0.120    -1.537    -0.277     0.218    -0.365     0.243     0.032     0.725     3.000
    -0.756    -1.202     0.781    -0.078    -1.506     0.420     0.286     0.294     1.000
     0.339    -0.800    -0.277     0.664     0.491     0.137     0.004     0.859     3.000
     1.653     0.138     0.252     0.070     0.491     0.701     0.027     0.273     1.000
     0.339     0.607    -0.542     0.367     0.491     0.054     0.004     0.942     3.000
    -0.318    -0.934    -0.277     0.367    -0.365     0.075     0.013     0.913     3.000
    -0.756    -0.867     0.516    -1.117     0.491     0.044     0.950     0.006     2.000
    -0.318    -2.207    -0.013    -0.672     1.062     0.284     0.695     0.021     2.000
    -0.756    -0.264    -1.600     1.257    -1.791     0.091     0.000     0.909     3.000
     0.339     1.076    -0.013     0.515    -0.080     0.027     0.007     0.966     3.000
     0.120    -0.398     1.310    -0.227     2.203     0.700     0.295     0.005     1.000
     0.558     0.808     0.252    -0.672     0.491     0.107     0.795     0.098     2.000
     0.777    -1.202    -0.542     0.218     1.062     0.637     0.010     0.353     1.000
     0.339    -1.269    -0.806    -1.117    -1.506     0.943     0.020     0.037     1.000
     0.996     0.540    -0.013     1.109     0.491     0.097     0.000     0.902     3.000
    -0.318    -0.331    -0.013     1.257    -0.365     0.024     0.000     0.976     3.000
     1.215     0.607     0.252     1.702    -0.365     0.118     0.000     0.882     3.000
     0.777    -1.202     1.045    -0.820     1.062     0.404     0.594     0.003     2.000
     2.967    -0.733    -0.806    -0.227    -0.365     0.993     0.000     0.007     1.000
    -0.318     0.004    -0.542    -0.078     1.062     0.161     0.072     0.767     3.000
     0.120     1.814    -0.277     0.367     0.491     0.018     0.008     0.974     3.000
    -0.099    -0.197    -0.806     1.109    -0.080     0.023     0.000     0.977     3.000
     0.339    -1.604    -0.542     1.702    -0.650     0.156     0.000     0.844     3.000
    -0.975     0.741     0.252    -0.672    -0.080     0.031     0.764     0.205     2.000
     0.339    -1.403     2.103    -1.562     1.632     0.963     0.037     0.000     1.000
    -0.318     0.339    -0.542     0.367    -0.650     0.023     0.002     0.975     3.000
    -0.537    -0.197    -0.806    -0.672     0.491     0.267     0.132     0.601     3.000
     0.120    -1.001     0.516    -0.820     0.491     0.088     0.900     0.012     2.000
    -0.975    -0.264     1.045    -1.117    -0.365     0.059     0.932     0.009     2.000
    -0.537    -2.408    -1.335    -0.523    -0.650     0.788     0.002     0.210     1.000
     0.777     0.272     1.045    -1.562     0.776     0.255     0.745     0.001     2.000
     1.653    -0.465     1.045     0.070     0.776     0.940     0.024     0.036     1.000
    -0.318    -0.264     0.252    -2.155     0.491     0.197     0.802     0.001     2.000
     0.339    -0.934     0.252    -0.672     0.491     0.159     0.802     0.039     2.000
     0.120     2.283    -0.542     0.960     1.347     0.024     0.000     0.976     3.000
     0.777    -2.676    -0.277     0.070     0.491     0.849     0.032     0.119     1.000
    -0.537    -0.666     0.252     1.702    -0.365     0.036     0.000     0.964     3.000
    -0.537    -0.934     0.781    -1.710     0.491     0.079     0.921     0.001     2.000
    -0.537     0.138     0.516     1.257    -0.650     0.025     0.000     0.975     3.000
    -0.975    -0.532     0.781     1.109    -0.365     0.053     0.001     0.946     3.000
     0.558    -0.130     0.781    -0.078    -0.365     0.273     0.417     0.310     2.000
     0.339    -2.006    -0.277     1.257     0.491     0.302     0.000     0.698     3.000
    -0.099    -0.130    -0.277     0.515    -0.650     0.038     0.003     0.958     3.000
    -0.537    -0.063     0.252    -1.710    -0.080     0.072     0.924     0.004     2.000
     0.558     0.674    -0.013    -0.523     0.491     0.164     0.568     0.268     2.000
    -1.194    -1.403    -1.864     1.257    -0.365     0.094     0.000     0.906     3.000
    -0.537     1.277    -0.277     0.070     0.491     0.020     0.040     0.940     3.000
    -0.756    -0.398     1.045     0.812    -0.936     0.132     0.008     0.859     3.000
