     0.558    -0.130     0.781    -0.078    -0.365     0.708     0.039     0.240     0.013     0.000     1.000
     0.339    -2.006    -0.277     1.257     0.491     0.034     0.846     0.119     0.001     0.000     2.000
    -0.099    -0.130    -0.277     0.515    -0.650     0.053     0.196     0.750     0.000     0.000     3.000
    -0.537    -0.063     0.252    -1.710    -0.080     0.979     0.002     0.020     0.000     0.000     1.000
     0.558     0.674    -0.013    -0.523     0.491     0.606     0.009     0.369     0.016     0.000     1.000
    -1.194    -1.403    -1.864     1.257    -0.365     0.001     0.800     0.200     0.000     0.000     2.000
    -0.537     1.277    -0.277     0.070     0.491     0.035     0.002     0.962     0.000     0.000     3.000
    -0.756    -0.398     1.045     0.812    -0.936     0.105     0.063     0.831     0.000     0.000     3.000
    -1.194     0.674     0.781    -0.672     1.632     0.688     0.000     0.304     0.000     0.007     1.000
     0.558    -1.470    -0.806     1.702    -1.506     0.000     0.973     0.026     0.000     0.000     2.000
     0.339    -0.398    -0.542     0.070    -0.365     0.182     0.374     0.442     0.002     0.000     3.000
    -0.537     0.875    -0.542    -0.078    -0.080     0.051     0.012     0.937     0.000     0.000     3.000
     1.872    -0.063     1.310    -0.227     2.203     0.071     0.000     0.001     0.140     0.789     5.000
    -0.756    -0.398    -0.277     0.515    -0.080     0.060     0.102     0.839     0.000     0.000     3.000
     0.558     0.138    -0.013     0.664    -0.365     0.074     0.129     0.792     0.006     0.000     3.000
     1.653    -0.465     1.574    -1.562    -0.650     0.942     0.001     0.001     0.057     0.000     1.000
    -0.318    -1.202    -0.806     1.257    -1.221     0.002     0.858     0.140     0.000     0.000     2.000
    -0.537     0.942     0.516     0.367    -0.936     0.039     0.009     0.952     0.000     0.000     3.000
    -0.318     0.875    -0.013     1.405     0.206     0.002     0.005     0.993     0.000     0.000     3.000
    -0.537    -0.197    -0.806    -3.046    -0.936     0.995     0.003     0.002     0.000     0.000     1.000
     0.558     0.272     0.516     0.812    -1.221     0.059     0.139     0.798     0.005     0.000     3.000
    -0.099     0.205    -0.277    -0.672     0.776     0.665     0.011     0.323     0.001     0.000     1.000
     0.339     0.473     0.516     0.515     1.062     0.201     0.006     0.779     0.009     0.006     3.000
    -0.099    -0.197     0.516     0.218    -0.936     0.269     0.123     0.607     0.001     0.000     3.000
    -0.318    -0.331    -0.542    -0.375    -0.365     0.336     0.185     0.479     0.000     0.000     3.000
    -0.537     1.612    -0.542     1.554    -0.365     0.000     0.002     0.998     0.000     0.000     3.000
     3.624     1.545    -0.013     0.812     0.491     0.000     0.000     0.000     0.999     0.000     4.000
     0.339    -0.130     0.252    -0.672     0.491     0.883     0.010     0.102     0.005     0.000     1.000
    -0.756    -0.130     0.252    -0.672     0.491     0.758     0.007     0.235     0.000     0.000     1.000
     0.558    -0.733     0.516    -0.820    -1.221     0.876     0.087     0.034     0.003     0.000     1.000
     0.120     0.741     1.310    -0.672     0.206     0.881     0.001     0.115     0.003     0.001     1.000
     0.339    -1.805    -0.542    -0.672    -1.506     0.136     0.855     0.010     0.000     0.000     2.000
     1.653    -0.264    -0.013     0.960    -1.221     0.028     0.684     0.204     0.084     0.000     2.000
    -0.318    -1.269     1.045    -0.672     0.776     0.983     0.003     0.013     0.000     0.000     1.000
     0.339     1.411     0.516    -0.375     1.347     0.463     0.000     0.506     0.013     0.018     3.000
    -0.975     0.406     1.045    -0.375     0.776     0.638     0.001     0.360     0.000     0.001     1.000
     0.339     0.004    -1.071     0.664    -0.365     0.015     0.327     0.657     0.001     0.000     3.000
    -2.290     1.881    -0.277     0.960     0.491     0.000     0.000     1.000     0.000     0.000     3.000
     0.558    -1.001    -0.013    -1.265     0.206     0.973     0.016     0.009     0.003     0.000     1.000
     2.529     1.076     1.045    -0.672     1.062     0.046     0.000     0.001     0.942     0.011     4.000
    -0.099     0.406     0.252    -0.672     0.491     0.732     0.005     0.262     0.001     0.000     1.000
     2.310    -0.532     0.252    -0.672     0.491     0.237     0.006     0.003     0.754     0.000     4.000
     0.339     1.143    -1.071     1.702    -1.221     0.000     0.069     0.931     0.000     0.000     3.000
    -0.318    -0.465    -0.806    -0.523     1.062     0.580     0.054     0.365     0.000     0.000     1.000
    -2.071     2.015    -0.277     1.702    -0.080     0.000     0.000     1.000     0.000     0.000     3.000
