         *         *         *    82.020         *         *    67.904     3.865    69.308     3.626     0.048     0.930     0.022     0.000     2.000
         *         *         *    64.640    68.590    68.710    56.011     2.874    57.222     2.674     0.006     0.759     0.235     0.000     2.000
    48.910    50.450    54.220    68.420    67.320    62.000    49.939     3.401    49.901     3.397     0.000     0.027     0.972     0.000     3.000
    66.490    76.290    76.360         *    81.330         *    69.411     3.067    69.423     3.066     0.000     0.996     0.004     0.000     2.000
         *         *         *    41.330    39.360    48.160    39.250     0.744    40.066     0.411     0.000     0.000     0.162     0.838     4.000
    49.260         *         *         *         *         *    49.190     2.732    48.312     3.038     0.010     0.217     0.642     0.131     3.000
    50.640         *         *         *    58.570    79.120    49.841     3.764    49.789     3.811     0.000     0.011     0.969     0.020     3.000
    63.890    70.260    68.140    74.800    82.210         *    64.131     3.913    64.143     3.916     0.000     0.991     0.009     0.000     2.000
         *         *         *    70.100    67.120         *    57.081     2.846    59.529     2.439     0.017     0.626     0.356     0.001     2.000
         *         *         *    52.370    63.860    66.220    47.076     3.563    47.226     3.519     0.017     0.035     0.944     0.003     3.000
    56.610         *         *         *    58.410         *    52.125     2.008    51.446     2.293     0.000     0.262     0.669     0.069     3.000
    45.460    43.820    43.400    50.200    54.300         *    43.097     2.653    42.727     2.895     0.000     0.034     0.811     0.155     3.000
    44.380    46.800    56.550         *    54.980    50.660    45.503     2.118    44.937     2.333     0.000     0.036     0.792     0.173     3.000
         *         *         *    59.120    65.930    66.200    51.408     3.123    49.918     3.366     0.008     0.427     0.563     0.002     3.000
         *         *         *    70.430         *         *    59.418     3.227    61.003     3.064     0.021     0.809     0.169     0.000     2.000
    41.090    50.060    63.470         *    63.580    64.410    46.961     3.742    46.788     3.765     0.000     0.048     0.951     0.001     3.000
    65.040         *         *         *         *         *    62.739     2.865    63.150     2.921     0.000     0.913     0.082     0.005     2.000
         *         *         *    62.230    60.430    58.250    50.273     2.451    48.620     2.762     0.003     0.266     0.712     0.018     3.000
    62.860    71.400    72.100    78.000    73.450    79.320    66.074     2.578    66.165     2.565     0.000     0.974     0.026     0.000     2.000
         *         *         *    62.560         *    57.550    49.524     2.516    48.229     2.695     0.009     0.177     0.789     0.024     3.000
    35.500    31.940    30.620    28.290    36.630         *    33.205     0.366    33.244     0.334     0.000     0.000     0.019     0.981     4.000
    38.840    44.520         *         *         *         *    41.465     2.837    41.445     3.425     0.029     0.019     0.695     0.257     3.000
    44.460    46.800         *    54.310    55.970    57.110    44.866     2.776    44.472     2.896     0.000     0.152     0.804     0.044     3.000
         *         *         *    71.020         *    79.720    60.886     3.429    61.441     3.342     0.010     0.924     0.065     0.000     2.000
    44.580    44.490         *    39.620    41.560         *    42.743    -0.104    42.856    -0.182     0.000     0.000     0.042     0.958     4.000
    65.460    66.540    78.910         *    78.180    85.210    66.148     3.384    66.204     3.380     0.000     0.978     0.022     0.000     2.000
    49.260    58.090    58.880    59.450    58.810         *    51.778     2.319    50.251     2.742     0.000     0.446     0.533     0.021     3.000
    51.550    61.880    57.400    56.300    63.370    58.070    52.620     2.098    51.695     2.294     0.000     0.278     0.700     0.022     3.000
    47.040    50.890    64.880    66.780         *    68.650    50.695     3.738    50.315     3.721     0.006     0.149     0.845     0.000     3.000
    56.630    53.410    63.220    71.440    74.020         *    55.491     4.184    55.592     4.344     0.000     0.683     0.317     0.000     2.000
         *         *         *    49.380         *    47.920    43.669     1.419    46.209     0.481     0.002     0.019     0.475     0.504     4.000
    52.610         *    46.860         *         *         *    48.246     1.890    48.086     2.687     0.002     0.028     0.681     0.289     3.000
         *         *         *    72.680    77.540    69.930    62.687     2.980    64.063     2.705     0.030     0.836     0.134     0.000     2.000
         *         *         *    68.140    77.220         *    59.269     3.900    60.645     3.584     0.056     0.830     0.114     0.000     2.000
         *         *         *    60.340         *    62.060    50.001     2.756    48.280     3.027     0.005     0.313     0.669     0.012     3.000
    44.290    36.310    46.750         *    42.020    37.100    41.560     0.103    41.605     0.081     0.000     0.000     0.020     0.979     4.000
         *         *         *    51.220         *         *    44.648     2.675    44.075     3.065     0.015     0.040     0.777     0.169     3.000
    55.430    54.570    63.090    65.270    66.620    69.570    54.974     3.005    55.233     2.975     0.000     0.834     0.166     0.000     2.000
    50.590    60.740    59.340         *    62.520    64.970    53.577     2.437    54.988     2.154     0.000     0.565     0.431     0.004     2.000
         *         *         *    61.920         *    48.390    47.314     1.953    46.064     2.136     0.040     0.013     0.734     0.213     3.000
    47.750    46.130    59.790         *         *         *    47.599     3.214    47.492     3.265     0.011     0.045     0.900     0.044     3.000
         *         *         *    56.190    50.190    49.060    45.441     1.579    42.985     2.268     0.000     0.014     0.633     0.352     3.000
         *         *         *    41.870         *         *    40.433     1.491    41.457     0.382     0.011     0.002     0.405     0.582     4.000
    50.490    58.070    61.690    61.200    62.960         *    53.666     2.589    54.541     2.406     0.000     0.696     0.301     0.003     2.000
         *         *         *    68.200    73.190    77.840    59.161     3.398    59.610     3.313     0.009     0.921     0.070     0.000     2.000
    36.810         *         *         *         *         *    39.751     3.009    40.281     3.502     0.063     0.014     0.645     0.277     3.000
    49.370    46.300         *         *         *         *    46.916     2.382    46.883     3.013     0.006     0.059     0.706     0.228     3.000
    47.080    49.540    66.800    63.890         *         *    49.908     3.817    49.943     3.663     0.033     0.046     0.920     0.001     3.000
         *         *         *    51.290    56.850    61.480    44.777     3.063    44.392     3.187     0.001     0.077     0.886     0.036     3.000
    46.680    45.120    53.630         *         *         *    45.888     2.820    45.677     3.168     0.005     0.067     0.790     0.138     3.000
