         *         *         *    52.610    58.360    57.530    46.151     2.621    43.270     3.362     0.190     0.425     0.385     2.000
         *         *         *    53.230         *         *    45.801     2.747    44.136     3.772     0.100     0.464     0.436     2.000
         *         *         *    60.400    63.120         *    51.401     2.890    53.784     2.408     0.528     0.337     0.135     1.000
         *         *         *    52.360         *    47.090    45.235     1.370    45.448     1.309     0.033     0.058     0.909     3.000
         *         *         *    41.110         *         *    39.765     1.613    39.972     1.089     0.002     0.197     0.801     3.000
    58.310    62.040    63.990    65.660    71.340    64.730    58.950     2.456    59.114     2.447     0.926     0.033     0.041     1.000
    48.380    43.040    65.570    68.470    80.570         *    50.241     5.317    50.240     5.316     0.000     0.998     0.002     2.000
         *         *         *    83.380    83.650    84.770    69.955     3.413    69.986     3.409     0.996     0.003     0.001     1.000
    41.080         *    61.940         *         *         *    46.136     3.971    45.123     4.177     0.116     0.778     0.106     2.000
    27.130         *    39.480         *         *         *    33.783     3.015    34.046     1.692     0.002     0.424     0.574     3.000
         *         *         *    69.570    71.190    66.340    59.522     2.481    61.107     2.263     0.800     0.163     0.037     1.000
         *    51.740    66.060    69.150         *         *    53.134     3.852    51.761     3.840     0.360     0.560     0.079     2.000
         *         *         *    59.880         *         *    50.151     2.987    47.001     3.783     0.371     0.432     0.197     2.000
         *         *         *    75.160    73.370         *    62.816     2.931    63.444     2.846     0.918     0.071     0.011     1.000
    64.270    70.910    73.380    79.330    80.970    82.220    66.572     3.515    66.576     3.515     0.999     0.001     0.000     1.000
         *         *         *    44.120         *    41.670    40.933     0.927    40.965     0.915     0.004     0.008     0.988     3.000
    56.590    62.410    65.240    71.140    72.140         *    59.038     3.361    59.096     3.359     0.975     0.016     0.009     1.000
    47.430    45.810    57.330    54.030    61.440    65.910    46.602     3.549    46.008     3.838     0.158     0.626     0.217     2.000
         *         *         *    62.850         *         *    52.660     3.016    55.627     2.649     0.531     0.350     0.118     1.000
    49.540    54.090    53.980    54.970    66.500         *    49.165     3.444    48.386     3.768     0.178     0.559     0.263     2.000
    45.910    38.080    34.930    31.150         *         *    38.609    -0.184    38.620    -0.247     0.000     0.020     0.980     3.000
         *         *         *    55.870    53.680    64.940    45.286     3.122    43.339     3.868     0.057     0.575     0.368     2.000
    71.990    75.240    77.850    81.310    79.760    76.200    71.805     2.072    71.813     2.072     0.998     0.001     0.001     1.000
         *         *         *    44.540    38.750    44.310    39.458     0.767    39.535     0.740     0.001     0.015     0.984     3.000
