     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1397
     1.000     1.000     0.000     1.000     1.000     0.270     0.010     0.720     0.000     3.000 1399
     1.000     0.000     0.000     1.000     1.000     0.016     0.018     0.966     0.000     3.000 1401
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1402
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1403
     1.000     0.000     1.000     1.000     0.000     0.029     0.810     0.160     0.002     2.000 1405
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1408
     1.000     1.000     1.000     0.000     1.000     0.827     0.047     0.126     0.000     1.000 1409
     1.000     1.000     0.000     0.000     0.000     0.004     0.533     0.327     0.136     2.000 1410
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1411
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1413
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1414
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1415
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1417
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1421
     1.000     1.000     0.000     0.000     1.000     0.072     0.042     0.886     0.000     3.000 1422
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1423
     1.000     1.000     1.000     0.000     0.000     0.062     0.869     0.068     0.000     2.000 1425
     0.000     0.000     1.000     1.000     1.000     0.231     0.124     0.644     0.000     3.000 1426
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1427
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1430
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1431
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1433
     0.000     1.000     1.000     0.000     1.000     0.546     0.148     0.306     0.000     1.000 1434
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1437
     0.000     1.000     0.000     1.000     0.000     0.008     0.348     0.583     0.061     3.000 1438
     1.000     0.000     1.000     1.000     1.000     0.535     0.060     0.405     0.000     1.000 1439
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1441
     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1444
     0.000     1.000     0.000     1.000     1.000     0.091     0.016     0.893     0.000     3.000 1445
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1447
     0.000     0.000     1.000     1.000     1.000     0.231     0.124     0.644     0.000     3.000 1449
     1.000     1.000     0.000     0.000     1.000     0.072     0.042     0.886     0.000     3.000 1450
     1.000     0.000     1.000     1.000     0.000     0.029     0.810     0.160     0.002     2.000 1451
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1452
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1453
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1455
     0.000     1.000     0.000     0.000     1.000     0.020     0.057     0.923     0.000     3.000 1457
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1458
     0.000     0.000     1.000     1.000     1.000     0.231     0.124     0.644     0.000     3.000 1459
     1.000     0.000     0.000     0.000     1.000     0.003     0.063     0.934     0.000     3.000 1460
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1461
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1463
     0.000     1.000     1.000     1.000     1.000     0.879     0.015     0.106     0.000     1.000 1464
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1465
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1466
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1470
     1.000     1.000     1.000     0.000     1.000     0.827     0.047     0.126     0.000     1.000 1471
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1472
     1.000     1.000     1.000     1.000     0.000     0.478     0.409     0.113     0.000     1.000 1473
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1476
     0.000     0.000     0.000     1.000     1.000     0.004     0.024     0.972     0.000     3.000 1477
     1.000     0.000     0.000     1.000     1.000     0.016     0.018     0.966     0.000     3.000 1479
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1480
     1.000     0.000     1.000     0.000     0.000     0.002     0.935     0.052     0.010     2.000 1481
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1484
     0.000     0.000     0.000     1.000     0.000     0.000     0.171     0.203     0.627     4.000 1486
     0.000     1.000     0.000     1.000         *     0.072     0.093     0.821     0.014     3.000 1487
     1.000     0.000     1.000     0.000     0.000     0.002     0.935     0.052     0.010     2.000 1490
     0.000     0.000     0.000         *     1.000     0.003     0.049     0.948     0.000     3.000 1492
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1493
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1498
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1499
     0.000     0.000     1.000     0.000     0.000     0.000     0.920     0.040     0.040     2.000 1500
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1501
     1.000     1.000     0.000     1.000     1.000     0.270     0.010     0.720     0.000     3.000 1504
     1.000     0.000     0.000     1.000     1.000     0.016     0.018     0.966     0.000     3.000 1505
     1.000     0.000     1.000     0.000     1.000     0.157     0.290     0.552     0.000     3.000 1513
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1514
     1.000     0.000     1.000     1.000     1.000     0.535     0.060     0.405     0.000     1.000 1517
     0.000     0.000     0.000     1.000     1.000     0.004     0.024     0.972     0.000     3.000 1519
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1522
     0.000     1.000     0.000     1.000     0.000     0.008     0.348     0.583     0.061     3.000 1523
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1524
     1.000     0.000     1.000     1.000     1.000     0.535     0.060     0.405     0.000     1.000 1525
     1.000     1.000     1.000     1.000     0.000     0.478     0.409     0.113     0.000     1.000 1526
     0.000     0.000     0.000     0.000     0.000     0.000     0.045     0.015     0.940     4.000 1527
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1528
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1529
     1.000     1.000     1.000     1.000     1.000     0.965     0.003     0.032     0.000     1.000 1533
