CASENUM,COHORT,AB39A,GA32A,KA46A,AB39B,AB39C,AB39D,AB39E,AB39F,AB39G,AB39H,GA32H,KA46H,AB39I,GA32I,KA46I,AB39J,AB39K,GA32K,KA46K,AB39L,GA32L,KA46L,AB39M,GA33A,KA47A,AB39N,AB39O,AB39P,AB39Q,AB39R,AB39S,AB39T,GA33H,KA47H,AB39U,GA33I,KA47I,AB39V,AB39W,GA33K,KA47K,AB39X,GA33L,KA47L,SCIENCEG7,SCIG8,SCIG11,MTH7,SCI7,SCI8,MOTHED,FATHED,PEDUC,PEDUC3,RSEDAN,RSEDAN6,RSEDAN5,RBACC,RMAJFIRST,RMAJFIRST2,RMAJLAST2,RMAJLAST,RGRADMAJ,RGRADMAJ10,RSTEMM,RSTEMMX,RSTEMMB,RSTEMMA,WEIGHT7,WEIGHT8,WEIGHT9,WEIGHT10,WEIGHT11,WEIGHT12,WEIGHTP1,WEIGHTP2,WEIGHTP4,WGT12A,WEIGHTR,GENDER,RACETH3,RACETH,MINORITY,STEM,STEMSUP,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE
6389,2,1,1,NA,2,2,4,2,1,2,0,0,NA,0,1,NA,4,0,0,NA,1,0,NA,1,1,NA,-98,5,3,2,1,4,0,1,NA,0,0,NA,3,0,0,NA,0,0,NA,54.23,52.73,9999,2,1,1,4,5,5,4,15,5,4,1,7,0,0,9,0,10,0,25,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,53.67,56.65,9999,9999,9999,1
3508,2,0,0,1,2,2,4,-98,2,3,0,1,1,0,1,1,4,1,0,0,0,0,0,0,0,0,3,3,4,3,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,48.3,46.3,9999,3,1,1,2,2,2,1,15,5,4,1,7,0,1,2,0,7,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,57.01,55.94,9999,9999,9999,1
6401,2,0,1,NA,1,2,5,5,1,5,1,1,NA,1,1,NA,5,1,1,NA,1,1,NA,1,1,NA,1,2,5,5,1,5,1,1,NA,1,1,NA,5,1,1,NA,1,1,NA,59.95,64.71,9999,3,1,1,2,2,2,1,8,2,1,0,-99,-99,0,0,0,0,0,22,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,48.52,63.9,78.33,9999,9999,1
4358,2,1,1,0,2,3,3,4,3,4,0,1,1,0,1,0,2,0,1,1,NA,1,1,0,1,1,2,3,3,3,3,3,1,1,0,0,1,1,2,0,1,0,1,1,0,45.49,46.09,9999,2,1,1,4,4,4,4,15,5,4,1,6,0,0,6,0,6,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,53.42,48.08,9999,9999,9999,1
4424,2,1,NA,NA,1,1,5,5,2,3,1,NA,NA,1,NA,NA,5,1,NA,NA,1,NA,NA,1,NA,NA,2,2,5,4,1,1,0,NA,NA,0,NA,NA,5,0,NA,NA,0,NA,NA,40.91,9999,9999,3,1,1,4,5,5,4,6,2,1,0,7,0,0,0,0,0,0,97,1,1,1.8436,1.889,1.8987,1.986,0,0,2.5157,0,0,2.2994,1.45,1,1,1,1,0,0,0,51.62,9999,9999,9999,9999,1
2191,2,0,0,NA,5,5,3,1,1,1,0,1,NA,0,1,NA,3,0,0,NA,0,0,NA,0,0,NA,4,3,4,4,4,3,1,1,NA,0,1,NA,3,0,0,NA,0,0,NA,47.93,9999,9999,3,1,1,4,2,4,4,13,4,3,1,8,0,0,8,0,0,0,63,0,0,1.8436,1.889,1.8987,1.986,2.4785,0,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,48.61,9999,9999,9999,9999,1
3118,2,0,NA,NA,3,2,5,3,-98,3,1,NA,NA,0,NA,NA,5,0,NA,NA,1,NA,NA,0,NA,NA,3,3,5,3,3,3,0,NA,NA,0,NA,NA,5,0,NA,NA,0,NA,NA,31.79,27.06,9999,1,1,1,2,-99,2,1,15,5,4,1,10,0,0,6,0,7,0,25,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,42.62,9999,9999,9999,9999,1
3458,2,1,1,NA,2,2,5,3,2,4,1,1,NA,1,1,NA,5,1,1,NA,1,1,NA,1,1,NA,2,2,-96,3,2,3,1,1,NA,1,1,NA,5,1,1,NA,1,1,NA,53.59,9999,9999,4,1,1,5,5,5,4,13,4,3,1,8,0,0,6,0,0,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,2.5483,0,0,0,2.2994,1.45,1,3,3,0,0,0,0,57.63,9999,9999,74.33,9999,1
5340,2,0,0,NA,3,4,3,2,2,4,1,1,NA,0,1,NA,4,1,0,NA,0,0,NA,1,1,NA,2,2,4,5,3,5,1,0,NA,0,0,NA,5,0,0,NA,1,1,NA,53.64,9999,9999,3,1,1,2,1,2,1,15,5,4,1,10,0,0,6,0,6,0,18,1,1,1.8436,1.889,1.8987,1.986,2.4785,0,2.5157,0,0,2.2994,1.45,1,3,3,0,0,0,0,59.46,56.39,9999,9999,9999,1
1152,2,1,NA,NA,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,35.81,9999,9999,2,1,-99,1,-99,1,1,7,2,1,0,9,0,0,0,0,0,0,43,1,1,1.8436,0,0,0,0,0,0,0,0,0,3.05,2,3,3,0,0,0,0,35.54,9999,9999,9999,9999,0
