CASENUM,GENDER,AB34D,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1261,1,1,66.48,NA,69.77,70.12,73.56,NA
1262,2,NA,NA,NA,NA,62.41,71.33,NA
1263,1,NA,NA,NA,NA,54.77,61.28,NA
1264,2,NA,NA,NA,NA,56.27,NA,NA
1265,1,NA,NA,NA,NA,54.36,67.71,63.99
1266,2,NA,55.18,64.68,71.35,62.72,64.17,63.5
1267,2,NA,NA,NA,NA,74.28,77.25,NA
1268,2,3,53.83,58.89,NA,NA,NA,NA
1269,2,NA,NA,NA,NA,60.36,NA,68.64
1270,2,2,42.62,36.04,NA,NA,NA,NA
1271,2,NA,NA,NA,NA,48.28,60.35,64.81
1272,1,NA,NA,NA,NA,NA,54.56,60.73
1273,1,NA,NA,NA,NA,NA,NA,NA
1274,1,3,52.1,49.77,NA,NA,NA,NA
1275,2,NA,NA,NA,NA,69.53,NA,NA
1276,1,NA,NA,NA,NA,62.54,68.58,62.49
1277,2,NA,NA,NA,NA,58.12,NA,NA
1278,2,NA,NA,NA,NA,NA,NA,NA
1279,1,NA,NA,NA,NA,48.43,42.34,NA
1280,2,NA,NA,NA,NA,52.66,58.32,61.63
1281,1,1,49.51,NA,NA,NA,NA,NA
1282,1,3,51.87,49.7,56.1,48.53,64.35,69.69
1283,2,NA,NA,NA,NA,60.06,62.31,67.66
1284,2,2,48.92,57.87,58.73,64.7,NA,NA
1285,1,2,59.19,NA,NA,63.15,NA,NA
1286,1,NA,NA,NA,NA,60.02,62.6,NA
1287,2,3,69.03,71.36,72.24,72.77,73.41,82.83
1288,1,1,44.48,48.99,44.63,60.5,NA,NA
1289,2,3,88.03,83.26,84.66,91.33,NA,NA
1290,1,NA,NA,NA,NA,53.2,55.11,65.04
1291,2,NA,NA,NA,NA,61.47,62.01,65.25
1292,2,1,42.25,NA,34.93,31.16,33.97,30.9
1293,1,NA,NA,NA,NA,46.18,52.26,57.77
1294,2,NA,NA,NA,NA,53.26,NA,NA
1295,1,1,44.89,57,58.25,63.41,63.37,NA
1296,1,2,46.42,55.23,60.63,61.07,NA,NA
1297,2,1,32.84,34.18,52.42,NA,64.29,NA
1298,2,NA,NA,NA,NA,77.53,80.77,77.02
1299,1,NA,NA,NA,NA,57.92,NA,NA
1300,2,1,36.03,35.25,NA,NA,NA,NA
1301,1,2,39.48,NA,49.87,NA,NA,NA
1302,1,NA,NA,NA,NA,77.31,74.84,73.81
1303,1,1,49.86,58.72,NA,NA,NA,NA
1304,2,NA,NA,NA,NA,71.09,72.28,NA
1305,2,2,49.57,55.45,66.95,63.89,NA,NA
1306,2,2,61.38,62.06,68.08,63.96,68.97,70.3
1307,2,NA,NA,NA,NA,44.23,NA,NA
1308,1,NA,NA,NA,NA,42.89,52.07,57.02
1309,2,3,42.72,54.76,NA,NA,NA,NA
1310,2,NA,NA,NA,NA,80,NA,87.6
1311,1,NA,NA,NA,NA,66.11,NA,65.32
1312,1,1,37.15,60.35,NA,NA,NA,NA
1313,2,2,69.19,64.02,76.85,NA,NA,81.98
1314,2,NA,NA,NA,NA,48.68,53.62,55.45
1315,1,NA,NA,NA,NA,59.69,55.6,60.53
1316,2,1,48.75,49.45,50.56,53,55.11,NA
1317,1,NA,NA,NA,NA,74.71,77.81,76.96
1318,1,NA,NA,NA,NA,40.14,38.47,NA
1319,1,1,45.12,31.24,56.76,51.73,49.62,NA
1320,2,3,47.5,50.61,NA,NA,NA,NA
1321,1,2,41.26,34.76,49.79,51.91,NA,NA
1322,2,3,37.48,NA,NA,NA,NA,NA
1323,2,2,51.26,60.06,62.15,64.63,NA,NA
1324,2,3,44.59,42,NA,NA,NA,NA
1325,2,3,57.19,61.13,NA,NA,NA,NA
1326,2,NA,NA,NA,NA,53.23,NA,NA
1327,1,NA,NA,NA,NA,80.42,82.82,85.26
1328,2,NA,NA,NA,NA,43.13,52.49,62.6
1329,1,NA,35.9,39.66,48.7,58.08,NA,NA
1330,1,2,47.74,48.77,60.49,59.62,65.09,63.81
1331,1,2,41.58,45.87,NA,NA,NA,NA
1332,1,3,52.39,45.1,55.15,52.26,NA,NA
1333,1,NA,NA,NA,NA,42.52,39.66,43.34
1334,1,NA,NA,NA,NA,52.11,67.4,64.91
1335,1,NA,33.79,35.84,NA,NA,NA,NA
1336,2,NA,NA,NA,NA,59.43,58.86,60.7
1337,2,NA,NA,NA,NA,52.53,62.5,59.17
1338,2,NA,NA,NA,NA,59.4,NA,56.94
1339,2,NA,NA,NA,NA,69.31,77.14,79.43
1340,2,NA,NA,NA,NA,55.23,NA,NA
1341,1,1,52.37,59.5,59.76,NA,NA,NA
1342,1,2,68.92,70.22,73.7,77.99,79.08,NA
1343,1,1,36.43,41.99,49.76,NA,46.18,50.96
1344,1,NA,NA,NA,NA,51.91,57.32,57.81
1345,1,1,30.26,53.99,56.56,55.79,58,NA
1346,2,2,58.46,73.73,72.6,78.56,80.11,77.01
1347,2,NA,NA,NA,NA,54.4,NA,NA
1348,1,NA,NA,NA,NA,61.89,61.51,60.82
1349,1,1,41.91,39.91,38.66,NA,NA,NA
1350,2,1,40.07,36.39,36.02,41.14,37.97,42.6
1351,2,1,44.44,NA,NA,NA,NA,NA
1352,2,3,62.58,71.51,72.62,78.66,73.46,74.64
1353,2,NA,NA,NA,NA,60.78,62.06,62.83
1354,1,2,49.51,60.4,59.56,66.03,73.46,74.13
1355,2,2,73.18,72.84,76.93,81.15,85.6,NA
1356,2,1,34.69,30.38,46.31,NA,NA,NA
1357,2,NA,NA,NA,NA,55.44,60.06,61.15
1358,2,NA,NA,NA,NA,54.03,NA,NA
1359,2,2,NA,59.08,71.43,67.41,76.41,81.02
1360,2,NA,NA,NA,NA,65.33,70.32,73.5
1361,1,NA,NA,NA,NA,72.97,82.69,84.51
1362,1,1,47.53,47.96,52.56,58.19,50.2,53.18
1363,1,NA,NA,NA,NA,58.87,NA,NA
1364,2,2,57.74,64.7,62.56,64.69,66.65,69.96
1365,1,NA,NA,NA,NA,52.4,NA,NA
1366,1,NA,NA,NA,NA,49.67,60.82,61.26
1367,1,NA,NA,NA,NA,79.1,81.29,81.9
1368,2,NA,NA,NA,NA,71.65,74.17,75.92
1369,1,1,55.1,65.97,70.69,68.78,73.44,68.63
1370,1,1,50.93,NA,NA,NA,NA,NA
1371,2,3,70.21,70.04,74.51,77.47,81.12,NA
1372,2,NA,NA,NA,NA,75.75,78.06,NA
1373,2,NA,NA,NA,NA,33.7,33.65,NA
1374,1,2,35.43,39.56,37.85,NA,NA,NA
1375,2,NA,NA,NA,NA,50.78,NA,NA
1376,1,NA,NA,NA,NA,51.77,47.01,52.92
1377,2,NA,NA,NA,NA,72.81,79.61,75.47
1378,2,2,35.76,38.72,41.65,36.71,53.38,NA
1379,2,3,71.06,69.59,76.85,80.17,83.67,81.65
1380,2,1,37.97,35.6,NA,NA,NA,NA
1381,1,2,37.84,37.93,37.22,NA,NA,NA
1382,2,1,39.08,NA,32.05,NA,NA,NA
1383,1,2,58.24,64.67,NA,66.35,74.15,NA
1384,2,NA,NA,NA,NA,53.04,56.21,NA
1385,1,NA,NA,NA,NA,50.93,NA,NA
1386,1,1,58.43,59.72,68.9,64.42,62.64,72.07
1387,1,2,56.11,NA,NA,NA,NA,NA
1388,2,NA,NA,NA,NA,55.28,NA,NA
1389,2,2,53.71,NA,59.69,NA,NA,NA
1390,1,NA,NA,NA,NA,63.14,67.71,68.28
1391,1,3,60.65,NA,NA,66.15,64.62,69.94
1392,2,1,53.31,57.51,63.92,61.89,62.96,55.3
