CASENUM,GENDER,KA46A,KA46H,KA46I,KA46K,KA46L,KA47A,KA47H,KA47I,KA47K,KA47L
1321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1322,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1323,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1324,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1325,2,1,1,1,1,1,1,1,1,1,1
1326,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1327,1,1,1,1,1,1,1,1,2,2,1
1328,2,4,4,4,3,2,2,2,3,2,2
1329,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1330,1,5,4,4,3,3,5,NA,4,5,5
1331,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1332,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333,1,4,2,2,2,2,1,3,2,3,3
1334,1,2,2,2,2,2,4,2,4,4,5
1335,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1336,2,5,4,5,NA,4,2,2,2,3,1
1337,2,2,2,2,2,2,4,3,3,3,3
1338,2,4,2,2,3,2,2,4,3,2,1
1339,2,2,2,2,2,3,1,2,2,1,1
1340,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1341,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1342,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1343,1,2,3,3,3,3,4,4,4,3,3
1344,1,2,3,3,3,3,4,3,3,3,3
1345,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1346,2,5,2,4,2,2,4,2,4,4,2
1347,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1348,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1349,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1350,2,2,3,2,2,3,2,2,2,2,2
1351,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352,2,2,2,2,2,2,2,2,2,2,2
1353,2,3,3,3,2,2,3,2,2,3,3
1354,1,2,2,2,2,2,1,2,2,4,2
1355,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1356,2,3,3,3,3,3,3,3,3,3,3
1357,2,2,3,2,5,1,2,4,2,4,2
1358,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1359,2,1,1,1,1,1,1,1,1,1,1
1360,2,2,2,2,1,1,1,1,1,1,1
1361,1,2,3,3,3,3,2,2,2,3,3
1362,1,4,4,3,2,3,2,4,3,3,4
1363,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1364,2,3,3,3,3,3,2,3,3,3,3
1365,1,1,1,1,1,1,5,2,2,2,2
1366,1,4,4,3,2,3,4,3,3,3,3
1367,1,5,2,4,2,2,4,2,4,2,2
1368,2,4,2,2,2,3,4,2,2,3,3
1369,1,3,2,2,3,3,4,3,2,3,3
1370,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1371,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1372,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1373,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1374,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1376,1,2,2,2,2,2,2,3,2,2,2
1377,2,2,2,2,4,3,2,2,2,4,4
1378,2,4,2,4,3,2,4,3,3,3,3
1379,2,2,2,2,2,2,2,2,2,3,3
1380,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1381,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1383,1,4,2,2,2,2,4,2,3,3,3
1384,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1385,1,3,3,3,3,3,3,3,3,3,3
1386,1,5,2,2,3,2,4,3,3,3,3
1387,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389,2,4,3,3,3,3,2,3,3,3,3
1390,1,4,5,2,3,4,4,4,3,3,4
1391,1,2,2,2,2,2,2,2,2,4,2
1392,2,4,4,4,4,4,4,4,3,2,2
1393,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1395,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,1,4,2,2,2,3,4,2,4,2,4
1397,1,4,2,3,2,2,4,4,4,4,4
1398,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,1,2,2,3,2,1,4,3,3,3,3
1400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,2,2,3,3,2,2,2,4,3,4,3
1402,1,2,2,2,2,2,2,2,2,2,2
1403,2,4,2,2,2,2,4,4,4,3,2
1404,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,2,2,3,1,2,3,2,3,1,2,3
1406,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,1,2,1,2,2,2,5,4,2,4,4
1409,1,2,2,2,3,2,3,3,3,3,3
1410,2,2,2,3,4,4,2,2,3,4,2
1411,1,1,2,2,2,2,1,4,2,4,4
1412,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,1,2,1,2,1,1,2,2,2,2,2
1414,1,4,4,3,4,4,2,3,3,4,4
1415,2,3,2,2,2,2,2,2,2,2,2
