casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2,sci_issues7,sci_irt7
5836,2,0,1,1,1,1,0,1,0,0,0,0,0,70.76,83.67,86.47,1,1,1,1,2,72.49
5842,2,1,0,0,0,0,0,0,0,0,0,0,0,66.2,85.83,85.1,0.67,0,0.44,0,1,58.98
6463,2,0,0,1,1,1,1,1,0,1,1,0,1,74.4,93.71,96.02,0.67,0,0.44,0,2,58.41
4589,2,0,0,1,0,0,1,0,1,0,0,0,0,54.88,69.49,87.9,0.67,0,0.89,0,3,57.02
3389,2,0,1,1,0,1,0,1,1,0,0,0,1,51.02,90.57,89.58,1,1,0.89,0,NA,65.83
6458,2,0,0,1,1,1,1,1,1,0,0,1,1,55.45,55.31,52.13,0.5,0,0.12,0,1,41.76
2991,2,1,0,0,0,0,0,0,1,0,1,0,0,43.78,59.73,58.63,0.33,0,0.67,0,2,42.26
2235,2,0,0,1,1,1,1,1,0,0,0,0,0,79.98,92.12,95.39,0.33,0,0.44,0,2,82.63
5894,2,1,0,0,0,0,0,0,0,0,0,0,1,69.79,73.6,83.9,1,1,0.67,0,1,58.38
2099,2,0,0,1,1,1,0,1,1,1,1,1,1,64.27,85.83,92.57,1,1,0.89,0,2,67.38
6796,2,0,0,1,0,0,0,1,0,0,0,0,0,56.18,61.36,64.61,1,1,0.33,0,1,41.4
2076,2,1,0,1,0,0,0,0,1,1,0,1,1,56.82,70.84,64.76,0.67,0,0.67,0,2,66.07
2637,2,1,0,0,0,0,0,0,0,0,0,0,0,57.61,72.38,78.87,1,1,0.56,0,2,42.96
4355,2,0,0,1,1,1,1,0,1,0,0,0,1,64.73,75.79,75.69,1,1,0.89,0,2,65.31
1701,2,0,0,0,0,0,0,1,1,0,1,1,0,55.98,77.74,86.58,0.33,0,0.67,0,2,61.29
2087,2,1,0,1,0,0,0,0,0,0,1,0,0,62.7,71.21,64.77,1,1,0.44,0,2,NA
3007,2,1,0,1,1,1,1,1,1,1,1,1,1,54.51,74.62,78.47,0.67,0,0.89,0,2,62.95
4796,2,0,0,1,1,1,1,0,0,0,0,0,0,64.56,70.59,84.78,0.33,0,0.56,0,3,62.88
2326,2,0,0,1,0,0,0,0,0,0,0,0,0,43.05,62.98,68.99,0.67,0,0.33,0,1,55.08
1405,2,0,0,1,0,1,1,1,1,1,1,1,0,50.14,63.88,67.9,1,1,0.89,0,2,46.84
5139,2,1,0,0,0,0,0,1,0,1,0,1,1,59.32,67.59,65.9,0,0,0.25,0,1,51.53
6253,2,1,0,1,0,0,0,0,1,1,1,1,1,70.07,81.96,86.09,1,1,0.67,0,1,53.74
6032,2,0,0,1,1,1,1,1,1,0,1,1,1,64.61,84.83,91.86,1,1,0.89,0,3,73
3102,2,1,0,0,1,1,0,0,0,0,0,0,0,50.14,58.43,51.84,0,0,0,0,1,44.28
5739,2,1,0,1,0,0,0,1,1,0,0,0,0,57.18,78.6,81.94,0.67,0,0.78,0,1,52.31
2635,2,1,0,1,1,1,0,1,1,1,0,1,1,51.9,63,68.67,1,1,1,1,3,56.68
6378,2,0,0,1,0,0,0,1,0,0,1,0,0,48.1,69.62,72.22,0.33,0,0.44,0,2,48.62
5197,2,1,0,0,0,0,0,0,0,0,0,0,0,66.83,77.65,79.98,1,1,0.78,0,1,51.92
4653,2,0,0,1,1,1,1,1,1,1,1,1,1,68.6,77.17,84.98,1,1,0.89,0,3,67.4
4617,2,0,0,1,1,1,1,1,1,1,1,1,1,57.05,68.17,81.06,1,1,0.89,0,2,50.56
3030,2,0,0,1,0,0,1,1,1,1,1,1,1,62.46,76.6,84.54,1,1,0.78,0,2,57.76
3965,2,0,0,1,0,1,1,1,0,0,0,0,0,53.77,66.86,64.85,0.33,0,0.78,0,3,50.75
2400,2,1,0,1,0,0,0,0,0,0,0,0,0,52.63,61.22,62.97,0.33,0,0.11,0,1,47.86
1045,2,0,0,0,0,0,0,1,0,1,1,1,1,71.87,88.97,97.56,1,1,0.89,0,2,74.59
2886,2,1,0,0,0,0,0,0,0,0,1,0,0,73.39,85.03,84.8,0.67,0,0.44,0,1,69.44
2384,2,1,0,1,1,0,0,1,1,1,1,1,1,59.38,63.94,55.7,0.33,0,0.33,0,3,56.34
1065,2,1,0,1,1,0,0,1,1,1,1,1,1,57.98,72.4,65.2,1,1,0.89,0,2,57.01
6728,2,1,0,0,1,1,1,1,1,0,0,0,0,47.35,46.22,46.59,1,1,1,1,2,40.2
1953,2,0,0,1,1,1,1,0,1,1,1,0,0,51.33,81.42,80.25,1,1,1,1,2,58.22
4837,2,1,0,0,0,0,1,1,0,0,0,1,0,39.98,56.42,59.9,0.33,0,0.11,0,1,42.71
4076,2,1,0,1,0,0,0,0,0,0,0,0,1,43.64,51,65.1,0,0,0.56,0,3,50.63
3967,2,1,0,1,0,0,0,0,0,0,0,0,0,55.33,73.95,77.75,0.5,0,0.88,0,2,55
6937,2,1,0,1,1,1,1,1,0,0,0,0,0,57.78,69.69,80.45,0.67,0,0.89,0,2,60.61
3671,2,0,0,1,0,0,0,1,0,1,1,0,0,47.7,67.99,76.35,0.67,0,0.67,0,2,47.38
3750,2,1,0,0,0,0,0,0,1,1,1,1,1,43.78,45.75,54.51,0,0,0.11,0,2,35.58
4809,2,1,0,0,1,1,1,1,1,0,0,0,0,69.63,86.71,92.39,0.33,0,0.33,0,1,60.03
4786,2,0,0,0,0,1,0,0,1,0,0,0,0,47.59,64.76,64.91,0.67,0,0.56,0,1,56.07
5115,2,1,0,1,0,0,0,0,0,0,1,0,0,59.45,68.12,88.35,0.67,0,0.67,0,2,45.79
6506,2,0,0,1,1,1,1,1,1,0,0,1,0,48.42,84.33,73.92,0.67,0,0.78,0,2,61.31
6920,2,0,0,1,1,1,1,1,1,1,1,1,1,39.5,71.02,77.37,1,1,1,1,3,60.07
5213,2,1,0,1,0,0,0,0,0,1,1,0,1,67.86,79.38,89.92,1,1,0.78,0,1,54.22
6387,2,1,0,1,1,1,1,1,0,0,0,0,0,44.74,55.83,56.9,0.33,0,0.78,0,2,42.8
5495,2,1,0,1,0,0,0,0,1,0,1,0,1,47.6,53.14,57.94,1,1,1,1,2,49.72
2467,2,0,0,1,1,1,1,0,0,0,0,1,0,60.97,77.97,81.9,1,1,0.67,0,2,60.01
2006,2,0,0,1,1,1,1,0,1,1,0,0,0,49.08,64.37,64.77,1,1,1,1,2,59.9
2832,2,1,0,1,1,1,1,1,0,0,0,0,0,43.88,66.27,71.42,0.5,0,0.75,0,2,53.03
5527,2,1,0,1,1,0,1,1,1,1,1,1,1,61.63,79.31,84.61,0.5,0,0.75,0,2,55.29
5395,2,1,0,1,1,1,1,1,0,0,1,0,0,69.06,78.13,88,0.33,0,0.44,0,2,69.68
4958,2,1,0,1,0,1,0,1,0,0,0,0,0,65.79,78.65,81.68,1,1,1,1,3,60.78
5474,2,1,0,1,0,0,0,0,1,1,1,0,1,66.97,78.94,84.54,1,1,0.89,0,2,64.04
5592,2,1,0,1,0,0,1,1,1,1,1,1,1,57.43,69.05,65.01,1,1,0.89,0,2,54.04
6784,2,1,0,1,0,0,0,0,1,0,0,0,0,50.52,64,68.94,1,1,0.89,0,1,47.71
5501,2,1,0,0,0,0,0,0,0,1,1,1,1,49.18,65.18,65.09,1,1,0.89,0,2,51.34
2011,2,0,0,1,0,0,0,0,1,0,0,0,1,40.79,72.06,60.65,1,1,0.78,0,1,55.9
1392,2,0,0,0,0,0,0,0,0,0,0,0,0,49.17,63.94,60.34,0.67,0,0.67,0,1,53.31
6565,2,0,0,1,0,1,0,1,1,1,1,1,1,40.66,63.76,62.3,0.67,0,0.89,0,2,61.76
5577,2,0,0,0,0,0,0,0,1,0,0,0,0,37.91,30.63,39.89,0.67,0,0.89,0,1,42.66
1929,2,0,0,0,0,0,0,0,1,1,1,1,1,36.43,39.41,40.06,0.33,0,0.33,0,1,NA
2894,2,0,0,1,0,0,1,0,1,1,0,1,1,53.38,61.05,64.68,0.5,0,0.88,0,2,60
1178,2,0,0,1,1,1,1,1,1,1,0,0,1,60.45,78.69,79.82,1,1,0.89,0,3,74.28
6100,2,0,0,1,0,0,0,0,0,0,1,0,0,48.12,49.86,69.31,1,1,0.56,0,1,59.27
6799,2,1,1,0,0,0,0,0,1,0,1,1,1,44.63,66.07,67.31,0.33,0,0.67,0,1,49.87
5193,2,0,1,1,1,0,0,0,1,1,0,0,0,46.24,52.78,64.7,0.33,0,0.78,0,1,46.44
2435,2,0,1,0,0,0,0,1,0,0,0,0,0,45.91,32.75,55.64,0.33,0,0.11,0,1,59.59
1112,2,1,0,0,0,0,1,0,1,0,1,0,0,49.63,71.42,72.79,1,1,0.89,0,3,44.48
3874,2,1,0,1,0,0,0,0,1,0,1,0,0,54.39,68.89,63.66,1,1,0.88,0,1,54.64
5841,2,0,0,1,1,1,1,1,1,1,1,1,1,60.92,65.79,84,0.67,0,0.89,0,3,68.06
3053,2,1,0,1,1,1,1,1,1,0,1,0,1,65.21,71.48,81.78,1,1,0.78,0,3,66.03
5143,2,1,0,1,0,1,0,0,1,1,1,1,1,51.37,65.74,67.73,1,1,0.89,0,2,51.9
1012,2,1,0,0,0,0,0,0,0,0,0,1,0,45.21,57.33,65.05,0.67,0,0.56,0,2,46.46
3590,2,1,0,0,0,0,0,1,0,1,1,0,0,60.91,72.27,78.45,0.67,0,0.44,0,2,58.54
3737,2,0,0,1,1,1,1,1,1,1,1,1,1,69.53,90.82,95.35,1,1,1,1,2,74.02
5825,2,0,1,1,1,1,1,1,1,1,1,1,1,71.59,89.66,89.7,1,1,0.89,0,2,74.45
4038,2,1,0,0,0,0,1,1,1,1,1,1,1,60.95,75.69,77.51,1,1,1,1,1,57.84
4898,2,0,0,1,1,1,1,1,1,1,1,1,1,76.8,93.04,97.67,1,1,0.89,0,3,76.49
6819,2,0,0,1,0,0,0,0,0,0,1,1,1,47.48,63.35,80.03,0.67,0,0.89,0,2,55.94
1479,2,0,0,0,0,0,0,0,1,1,1,0,1,63.19,71.51,76.93,0.67,0,0.44,0,1,60.55
4335,2,0,0,1,1,0,1,1,0,0,0,0,0,55.76,66.77,79.4,0.67,0,0.67,0,1,58.29
5586,2,0,0,1,0,0,0,0,1,0,1,0,0,47.04,69.74,66.21,0.67,0,0.78,0,2,64.03
2800,2,1,0,0,0,0,1,0,0,1,1,1,0,58.09,66.83,78.29,1,1,1,1,2,52.91
