     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000    73.330    74.520         *     0.172     0.638     0.190     0.000     2.000 4295
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000    50.390    57.350         *     0.001     0.973     0.025     0.000     2.000 6817
     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000    52.030    68.250         *     0.000     0.075     0.250     0.675     4.000 4225
     1.000     1.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000    50.780    78.340    87.430     0.000     0.088     0.904     0.008     3.000 4124
     1.000     1.000     1.000     0.000     1.000     1.000         *     1.000     1.000     1.000     0.000     0.000    67.210    82.670    99.300     0.935     0.002     0.063     0.000     1.000 3061
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    58.540    85.550    88.620     0.998     0.000     0.002     0.000     1.000 6798
     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000    48.740    53.720         *     0.000     0.345     0.631     0.023     3.000 1550
     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    42.100    55.140         *     0.000     0.003     0.020     0.978     4.000 3122
     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    62.620    71.760         *     0.000     0.936     0.048     0.016     2.000 2066
     0.000     0.000         *     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    57.900    63.210         *     0.000     0.001     0.005     0.994     4.000 3656
     1.000     0.000     1.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000    59.760    67.870         *     0.003     0.014     0.982     0.000     3.000 4182
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    48.430    66.770         *     0.000     0.992     0.007     0.001     2.000 2471
     0.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000    58.260         *         *     0.009     0.312     0.678     0.001     3.000 3244
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    58.550    64.020         *     0.998     0.000     0.002     0.000     1.000 6546
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    77.910         *         *     0.998     0.000     0.002     0.000     1.000 2144
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000    64.500    75.310         *     0.637     0.177     0.186     0.000     1.000 1804
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000    53.600    82.000         *     0.840     0.071     0.090     0.000     1.000 6000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    73.650    83.710    93.020     0.998     0.000     0.002     0.000     1.000 1944
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    53.610    75.370         *     0.998     0.000     0.002     0.000     1.000 3539
     0.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000    59.150    67.500         *     0.003     0.102     0.895     0.001     3.000 4337
     1.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000    64.810    71.560    81.630     0.000     0.008     0.989     0.003     3.000 5890
     1.000     1.000     1.000     1.000     1.000         *     1.000     1.000     1.000     1.000     0.000     0.000    66.830    84.310    89.210     0.997     0.000     0.003     0.000     1.000 3776
     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    71.560    80.800    89.810     0.884     0.000     0.116     0.000     1.000 2598
     0.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000    74.010    85.100    90.830     0.001     0.005     0.994     0.000     3.000 1431
     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000    71.190    77.580         *     0.000     0.012     0.406     0.581     4.000 6109
     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     1.000    72.350    78.100    87.920     0.000     0.076     0.774     0.150     3.000 5448
     0.000     1.000     1.000     0.000     1.000     0.000     1.000     1.000     0.000     1.000     0.000     1.000    67.210    81.430         *     0.135     0.036     0.828     0.000     3.000 2014
     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000    67.820    80.380    85.200     0.000     0.842     0.152     0.006     2.000 6360
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    74.190    88.480         *     0.998     0.000     0.002     0.000     1.000 4365
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000    69.510    78.660    82.250     0.003     0.010     0.986     0.000     3.000 4163
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000    62.290    73.620    79.590     0.172     0.638     0.190     0.000     2.000 5538
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000         *     1.000     1.000     1.000    64.540    71.860         *     0.994     0.001     0.005     0.000     1.000 6432
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    56.330    77.740    82.800     0.000     0.013     0.043     0.944     4.000 5263
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    53.340    69.300    71.930     0.000     0.992     0.007     0.001     2.000 3470
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    42.650    59.700         *     0.998     0.000     0.002     0.000     1.000 2053
     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    53.180    70.940    85.520     0.965     0.000     0.035     0.000     1.000 4824
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    62.910    70.710    74.420     0.991     0.000     0.009     0.000     1.000 5888
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000    55.860         *         *     0.000     0.000     0.002     0.998     4.000 5022
     1.000     1.000         *     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    61.650    69.270    72.010     0.948     0.000     0.052     0.000     1.000 3250
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    51.410    62.170         *     0.998     0.000     0.002     0.000     1.000 2106
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    57.960    59.200    68.570     0.000     0.735     0.250     0.016     2.000 1820
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    58.330    74.420    79.910     0.000     0.992     0.007     0.001     2.000 3730
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000    57.770    57.850    61.640     0.001     0.973     0.025     0.000     2.000 3044
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    51.540         *         *     0.998     0.000     0.002     0.000     1.000 2977
     0.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000    54.420         *    63.260     0.017     0.780     0.203     0.000     2.000 4949
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    53.570         *         *     0.000     0.000     0.002     0.998     4.000 1916
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     1.000    40.160         *    57.770     0.638     0.232     0.130     0.000     1.000 1864
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     1.000    46.520         *         *     0.559     0.296     0.145     0.000     1.000 1436
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    49.190         *         *     0.998     0.000     0.002     0.000     1.000 5857
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000    59.110    74.870    74.060     0.981     0.003     0.016     0.000     1.000 3018
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000    81.210    95.260         *     0.723     0.008     0.269     0.000     1.000 5618
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    56.400    73.270         *     0.991     0.000     0.009     0.000     1.000 2573
     0.000     1.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000    70.890    82.280         *     0.000     0.040     0.942     0.018     3.000 4030
     0.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000         *    53.380         *     0.964     0.002     0.034     0.000     1.000 3743
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    66.480    77.010         *     0.998     0.000     0.002     0.000     1.000 4712
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    56.620    67.710    64.620     0.000     0.000     0.002     0.998     4.000 1386
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000    47.050         *         *     0.819     0.022     0.159     0.000     1.000 5684
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    56.550         *         *     0.000     0.000     0.002     0.998     4.000 3843
     1.000     0.000     1.000     1.000     0.000     1.000     0.000     1.000     1.000     0.000     0.000     1.000    58.420    75.020    77.100     0.004     0.031     0.965     0.001     3.000 5397
     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000    45.930    55.830    65.000     0.000     0.983     0.010     0.007     2.000 6902
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000    61.070    75.900    81.120     0.001     0.703     0.289     0.007     2.000 6862
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000     0.000    54.640    69.060    69.130     0.701     0.194     0.105     0.000     1.000 6873
