0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	61.99	62.71	69.11	0.002	-0.006	0.001	0	0	-0.001	0	0	0.001	-0.002	0	0	-0.013	0.034	-0.003	-0.001	-0.021	0.055	-0.005	-0.002	-0.003	0.007	-0.001	0	-0.005	0.014	-0.001	0	0.114	-0.294	0.026	0.01	-0.019	0.048	-0.004	-0.002	-0.002	0.006	-0.001	0	-0.005	0.012	-0.001	0	0.101	-0.26	0.023	0.009	0.236	-0.608	0.054	0.021	0.03	-0.076	0.007	0.003	0.061	-0.156	0.014	0.005	-1.274	3.277	-0.293	-0.111	1730
1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	60.09	63.67	69.66	-0.009	0.023	-0.002	-0.001	0.045	-0.115	0.01	0.004	-0.004	0.01	-0.001	0	-0.001	0.003	0	0	0.275	-0.707	0.063	0.024	-1.373	3.531	-0.316	-0.119	0.12	-0.307	0.027	0.01	0.04	-0.102	0.009	0.003	-0.026	0.067	-0.006	-0.002	0.13	-0.336	0.03	0.011	-0.011	0.029	-0.003	-0.001	-0.004	0.01	-0.001	0	-0.007	0.017	-0.002	-0.001	0.033	-0.084	0.008	0.003	-0.003	0.007	-0.001	0	-0.001	0.002	0	0	5280
1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	.	.	.	.	.	.	.	.	.	.	0	1	58.98	65.77	.	-0.445	0.006	0.019	-0.001	-0.261	0.003	0.011	0	1.971	-0.026	-0.084	0.003	-0.12	0.002	0.005	0	0.011	0	0	0	0.006	0	0	0	-0.048	0.001	0.002	0	0.003	0	0	0	0.024	0	-0.001	0	0.014	0	-0.001	0	-0.108	0.001	0.005	0	0.007	0	0	0	-0.002	0	0	0	-0.001	0	0	0	0.007	0	0	0	0	0	0	0	2204
0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	.	.	.	.	.	1	1	57.98	68.85	78.24	-0.009	0.023	-0.002	-0.001	0.045	-0.115	0.01	0.004	-0.004	0.01	-0.001	0	-0.001	0.003	0	0	0.275	-0.707	0.063	0.024	-1.373	3.531	-0.316	-0.119	0.12	-0.307	0.027	0.01	0.04	-0.102	0.009	0.003	-0.026	0.067	-0.006	-0.002	0.13	-0.336	0.03	0.011	-0.011	0.029	-0.003	-0.001	-0.004	0.01	-0.001	0	-0.007	0.017	-0.002	-0.001	0.033	-0.084	0.008	0.003	-0.003	0.007	-0.001	0	-0.001	0.002	0	0	6715
1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	47.49	56.32	.	0.198	0.013	0.015	-0.497	0.025	0.002	0.002	-0.062	0.051	0.003	0.004	-0.128	-1.066	-0.072	-0.083	2.676	-0.005	0	0	0.012	-0.001	0	0	0.002	-0.001	0	0	0.003	0.026	0.002	0.002	-0.065	-0.011	-0.001	-0.001	0.027	-0.001	0	0	0.003	-0.003	0	0	0.007	0.059	0.004	0.005	-0.147	0.001	0	0	-0.002	0	0	0	0	0	0	0	0	-0.004	0	0	0.009	6821
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	55.03	54.26	68.9	-0.445	0.006	0.019	-0.001	-0.261	0.003	0.011	0	1.971	-0.026	-0.084	0.003	-0.12	0.002	0.005	0	0.011	0	0	0	0.006	0	0	0	-0.048	0.001	0.002	0	0.003	0	0	0	0.024	0	-0.001	0	0.014	0	-0.001	0	-0.108	0.001	0.005	0	0.007	0	0	0	-0.002	0	0	0	-0.001	0	0	0	0.007	0	0	0	0	0	0	0	2041
1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	66.3	82.49	91.44	0.393	0.116	-0.988	0.058	0.231	0.068	-0.58	0.034	-1.74	-0.515	4.376	-0.259	0.106	0.031	-0.267	0.016	-0.009	-0.003	0.024	-0.001	-0.006	-0.002	0.014	-0.001	0.042	0.012	-0.106	0.006	-0.003	-0.001	0.006	0	-0.022	-0.006	0.054	-0.003	-0.013	-0.004	0.032	-0.002	0.096	0.028	-0.241	0.014	-0.006	-0.002	0.015	-0.001	0.001	0	-0.003	0	0.001	0	-0.002	0	-0.006	-0.002	0.015	-0.001	0	0	-0.001	0	4888
1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	50.04	.	66.01	-0.009	0.023	-0.002	-0.001	0.045	-0.115	0.01	0.004	-0.004	0.01	-0.001	0	-0.001	0.003	0	0	0.275	-0.707	0.063	0.024	-1.373	3.531	-0.316	-0.119	0.12	-0.307	0.027	0.01	0.04	-0.102	0.009	0.003	-0.026	0.067	-0.006	-0.002	0.13	-0.336	0.03	0.011	-0.011	0.029	-0.003	-0.001	-0.004	0.01	-0.001	0	-0.007	0.017	-0.002	-0.001	0.033	-0.084	0.008	0.003	-0.003	0.007	-0.001	0	-0.001	0.002	0	0	6611
0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	50.1	55.21	59.19	-0.007	0	-0.001	0.018	-0.001	0	0	0.002	-0.002	0	0	0.005	0.038	0.003	0.003	-0.095	0.215	0.015	0.017	-0.541	0.027	0.002	0.002	-0.068	0.055	0.004	0.004	-0.139	-1.161	-0.078	-0.091	2.915	-0.02	-0.001	-0.002	0.051	-0.003	0	0	0.006	-0.005	0	0	0.013	0.11	0.007	0.009	-0.277	-0.005	0	0	0.013	-0.001	0	0	0.002	-0.001	0	0	0.003	0.028	0.002	0.002	-0.07	6800
1	1	.	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	46.64	54.22	61.16	1.207	-0.016	-0.051	0.002	-0.008	0	0	0	-0.058	0.001	0.002	0	0.004	0	0	0	-0.029	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	-0.066	0.001	0.003	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6469
