    47.140    59.060    56.420    47.460         *         *     0.000     2.000    48.530     2.235    48.380     2.394     0.087     0.001     0.008     0.905     4.000
    47.920    52.090    60.910    64.870    64.940    65.780     1.000     2.000    51.359     3.409    52.162     3.315     0.001     0.501     0.000     0.498     2.000
    44.030    51.600    62.250    61.720    66.370    61.420     1.000     1.000    49.609     3.614    48.821     3.680     0.001     0.379     0.000     0.620     4.000
    44.150    45.160         *         *         *         *     0.000     1.000    44.004     2.103    43.992     3.007     0.302     0.030     0.018     0.650     4.000
    70.490    75.400    76.640    77.190    82.850    88.120     0.000     3.000    69.682     3.259    69.689     3.258     0.000     0.997     0.000     0.003     2.000
    54.850    62.450    65.170    64.960    69.150    71.100     1.000     2.000    57.742     2.836    57.962     2.796     0.000     0.910     0.000     0.090     2.000
    48.510    49.090    60.280    53.710    58.790         *     0.000     1.000    47.918     2.794    47.790     2.826     0.007     0.069     0.000     0.925     4.000
    58.500    69.760         *    68.050         *         *     1.000     2.000    61.045     2.752    61.946     2.655     0.000     0.750     0.001     0.249     2.000
    43.270         *         *         *         *         *     0.000     2.000    44.665     2.573    45.610     3.186     0.303     0.032     0.050     0.615     4.000
    64.050    62.040    75.760    74.650         *         *     0.000     3.000    63.223     3.728    63.520     3.810     0.000     0.819     0.000     0.181     2.000
    58.430    64.380    61.420    59.240    66.240         *     0.000     2.000    56.535     2.329    55.574     2.552     0.001     0.427     0.000     0.573     4.000
    41.750         *         *         *         *         *     0.000     1.000    42.987     2.397    43.409     3.099     0.288     0.045     0.044     0.623     4.000
    50.540    46.310    56.010    52.080    61.460         *     0.000     1.000    47.357     3.040    47.334     3.045     0.006     0.069     0.000     0.924     4.000
    48.910    50.450    54.220    68.420    67.320    62.000     0.000     2.000    50.394     3.582    50.384     3.576     0.000     0.024     0.000     0.975     4.000
    66.490    76.290    76.360         *    81.330         *     1.000     2.000    69.100     3.115    69.142     3.111     0.000     0.988     0.000     0.012     2.000
    49.260         *         *         *         *         *     1.000     3.000    50.383     3.163    50.468     3.244     0.135     0.148     0.030     0.687     4.000
    50.640         *         *         *    58.570    79.120     1.000     2.000    49.477     3.395    49.455     3.445     0.037     0.010     0.000     0.953     4.000
    63.890    70.260    68.140    74.800    82.210         *     1.000     3.000    64.102     3.932    64.190     3.932     0.000     0.934     0.000     0.066     2.000
    56.610         *         *         *    58.410         *     0.000     2.000    51.654     2.111    51.417     2.206     0.026     0.086     0.000     0.888     4.000
    45.460    43.820    43.400    50.200    54.300         *     1.000     1.000    42.997     2.527    42.678     2.823     0.192     0.065     0.000     0.743     4.000
    44.380    46.800    56.550         *    54.980    50.660     1.000     1.000    45.512     2.252    45.190     2.432     0.133     0.059     0.000     0.808     4.000
    41.090    50.060    63.470         *    63.580    64.410     1.000     2.000    47.755     3.733    47.641     3.749     0.003     0.049     0.000     0.948     4.000
    65.040         *         *         *         *         *     1.000     1.000    61.255     2.875    61.680     2.916     0.002     0.912     0.000     0.085     2.000
    62.860    71.400    72.100    78.000    73.450    79.320     0.000     2.000    65.802     2.654    65.921     2.636     0.000     0.965     0.000     0.035     2.000
    35.500    31.940    30.620    28.290    36.630         *     0.000     2.000    33.625     0.236    33.628     0.233     0.998     0.000     0.000     0.002     1.000
    38.840    44.520         *         *         *         *     1.000     3.000    41.310     2.742    40.452     1.966     0.656     0.005     0.045     0.294     1.000
    44.460    46.800         *    54.310    55.970    57.110     1.000     1.000    44.969     2.769    44.558     2.893     0.041     0.286     0.000     0.674     4.000
    44.580    44.490         *    39.620    41.560         *     0.000     2.000    42.958    -0.167    43.012    -0.201     0.977     0.000     0.000     0.023     1.000
    65.460    66.540    78.910         *    78.180    85.210     0.000     3.000    66.075     3.398    66.290     3.379     0.000     0.915     0.000     0.085     2.000
    49.260    58.090    58.880    59.450    58.810         *     0.000     3.000    51.383     2.483    51.130     2.563     0.013     0.091     0.000     0.895     4.000
    51.550    61.880    57.400    56.300    63.370    58.070     0.000     3.000    52.603     2.313    52.476     2.351     0.008     0.046     0.000     0.945     4.000
