"hispanic","Gender","LifeSat1","LifeSat2","LifeSat3","LifeSat4","LifeSatA","PYDI1Ab","PYDI2Ab","PYDI3Ab","PYDI4Ab","PYDI5Ab","PYDI6Ab","PYDI7Ab"
1,2,5,4,4,4,77,1,1,1,1,1,1,1
0,2,6,5,6,6,85,0,1,0,1,0,1,0
0,2,5,4,5,5,75,1,1,1,1,0,1,0
0,1,5,4,4,4,71,1,1,1,1,1,1,1
1,2,5,3,5,5,84,0,1,0,1,0,0,0
1,1,5,3,3,4,81,0,1,1,1,1,1,1
0,1,4,4,4,4,60,1,1,1,1,1,1,1
0,2,4,5,3,4,53,1,1,1,1,1,1,1
0,1,5,6,5,5,80,0,1,1,1,1,1,1
0,2,4,2,2,5,50,0,1,1,1,1,0,1
0,1,4,4,3,5,77,0,1,1,1,0,1,1
0,2,4,3,4,4,63,0,1,1,1,0,1,0
0,1,5,4,4,4,87,1,1,1,1,1,1,1
0,1,4,3,3,3,40,1,1,1,1,0,1,1
0,1,4,4,4,4,47,1,1,1,1,0,0,1
1,2,5,2,5,6,80,1,1,1,1,1,1,1
0,1,6,1,5,4,76,0,1,1,1,1,1,1
0,1,6,6,6,5,91,1,0,1,1,1,1,1
0,2,5,2,2,1,50,0,1,1,1,1,1,1
0,1,6,4,5,4,60,1,1,1,1,0,1,1
1,1,4,3,4,4,61,1,1,1,1,0,1,1
0,2,6,1,5,2,70,0,1,1,1,0,1,0
0,2,4,4,5,5,87,1,1,1,1,1,1,1
1,1,4,3,3,4,82,0,1,1,1,1,1,1
0,2,6,4,6,4,80,0,0,1,1,1,1,1
0,1,5,3,4,4,55,0,1,1,0,0,1,1
0,2,4,3,4,3,50,1,1,1,1,1,1,1
0,1,5,2,3,4,61,0,0,1,1,1,1,1
0,1,5,4,4,4,77,1,1,0,1,1,1,1
0,2,4,3,4,4,65,0,1,1,1,1,1,1
0,1,6,4,5,5,81,0,0,0,1,0,1,1
0,1,6,5,5,6,87,0,1,0,1,1,1,1
1,1,5,4,5,5,90,0,1,1,1,1,1,1
1,1,6,3,4,3,60,1,0,1,1,1,1,1
1,2,5,4,4,2,70,0,1,1,1,1,1,1
1,1,4,3,3,4,40,1,1,1,1,1,1,1
1,1,5,4,4,5,85,0,1,1,1,1,1,1
0,1,5,4,4,5,80,0,1,1,1,1,1,1
0,1,4,3,3,4,58,1,1,1,1,1,1,1
1,1,1,1,1,1,21,1,1,1,1,1,1,1
1,2,5,4,3,4,85,0,1,1,1,1,1,1
1,1,4,3,4,3,71,1,1,1,1,0,1,1
1,1,5,3,4,4,90,0,1,1,1,1,1,1
0,2,5,5,5,5,86,0,0,0,1,1,1,1
1,1,6,6,5,6,85,1,1,1,1,1,1,1
0,1,4,3,2,3,60,1,1,1,0,1,1,1
0,1,4,3,3,3,68,1,1,1,1,1,1,1
0,1,6,4,4,5,80,0,1,1,1,0,1,1
0,1,5,4,3,5,73,1,1,1,1,0,1,1
1,2,4,4,4,4,71,1,1,1,1,1,1,1
1,1,5,4,4,4,98,0,1,1,1,1,1,1
