1	0	0	0	0	.	.	.	.	.	.	.	.	1	1	1	310.0034	.	102107
.	.	1	0	0	1	1	1	.	.	.	.	.	1	1	1	314.0446	1	102108
1	1	1	1	0	1	1	1	.	.	.	.	.	2	0	1	241.8125	.	102109
.	.	.	.	.	.	.	.	.	.	.	.	.	2	1	1	40.3535	0	102111
.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	19.2341	0	102112
1	1	1	1	1	1	1	1	.	.	.	.	.	1	0	1	298.9628	0	102113
0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	.	102116
1	1	1	0	1	1	1	1	.	.	.	.	0	1	0	1	41.182	0	102117
1	1	1	1	0	1	1	1	1	1	1	1	.	1	0	0	17.5268	0	102118
1	0	0	0	0	0	0	0	.	.	.	.	0	2	0	1	271.9975	0	102120
0	1	1	0	0	0	0	0	.	.	.	.	.	1	0	1	281.7671	1	102121
0	0	1	0	0	0	0	1	.	.	.	.	.	2	0	1	247.1358	0	102122
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	102162
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	102163
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	102164
1	1	1	1	1	.	1	1	.	.	.	.	0	1	1	1	0	.	102201
.	.	.	.	.	.	.	.	.	.	.	.	.	2	0	1	1165.9821	0	102202
0	1	0	0	0	0	0	0	.	.	.	.	.	2	0	1	30.8206	0	102203
1	1	1	1	1	1	1	1	1	1	1	1	.	2	0	0	26.2945	1	102204
.	.	.	.	.	.	.	.	.	.	.	.	.	1	0	1	0	.	102205
.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	870.1291	0	102206
1	0	1	0	0	.	.	0	1	1	1	1	.	1	1	0	328.0729	0	102207
1	1	1	1	1	1	1	1	1	1	1	1	.	1	0	0	37.8097	1	102208
0	1	1	1	1	0	1	1	.	.	.	.	.	1	0	1	33.7199	0	102209
.	.	.	.	.	.	.	.	.	.	.	.	1	1	1	0	569.5098	0	102210
0	1	1	.	.	.	.	.	.	.	.	.	0	2	0	1	856.9756	1	102211
1	1	1	1	0	0	0	0	.	.	.	.	0	2	0	1	848.2546	1	102212
.	.	.	1	1	.	.	.	.	.	.	.	0	1	0	1	233.4211	0	102213
1	0	1	0	0	1	1	1	1	1	1	1	.	1	1	0	0	.	102214
1	1	0	1	1	1	1	1	.	.	.	.	.	1	0	1	0	0	102215
0	0	0	0	0	0	0	0	1	1	1	1	.	2	0	0	31.9687	0	102216
0	0	0	0	0	0	0	0	.	.	.	.	.	2	0	1	29.7772	0	102217
1	1	1	1	1	1	1	1	.	.	.	.	.	1	0	1	27.8616	0	102218
0	1	1	1	1	1	1	1	1	1	1	1	.	1	1	0	31.9823	1	102219
.	.	.	.	.	.	.	.	.	.	.	.	.	1	1	0	0	.	102220
0	0	1	1	1	1	1	1	1	.	1	1	0	1	0	0	42.8511	0	102221
1	1	1	1	1	1	1	1	.	.	.	.	.	2	0	1	0	.	102222
1	0	1	1	1	1	1	1	.	.	.	.	.	2	0	1	218.1844	0	102223
0	1	1	1	1	1	1	1	1	1	1	1	.	1	0	0	34.4416	1	102224
1	0	1	1	1	1	1	1	1	1	1	1	.	1	1	0	53.5419	1	102226
1	1	1	1	1	1	1	1	1	1	1	1	.	1	0	0	1163.4886	0	102227
0	0	0	0	0	1	1	1	.	.	.	.	.	2	0	1	235.8395	0	102228
1	1	1	0	1	1	1	1	1	1	1	1	.	2	0	0	32.8284	0	102232
0	0	0	1	0	0	0	0	1	1	1	1	0	2	1	0	32.4402	0	102233
0	0	1	1	0	.	.	.	1	1	1	1	.	2	0	0	242.0026	0	102234
1	1	1	1	0	1	1	1	.	.	.	.	.	1	0	1	0	.	102235
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	102261
0	0	0	1	0	0	1	1	.	.	.	.	.	2	0	1	543.2071	0	103101
.	.	.	.	.	.	.	.	1	1	1	1	.	1	1	0	0	.	103102
1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	322.9047	0	103103
0	0	1	0	0	0	1	0	.	.	.	.	.	2	0	1	582.919	1	103104
0	1	1	1	0	0	1	0	.	.	.	.	0	1	0	1	0	0	103107
1	0	0	0	0	0	0	0	.	.	.	.	.	1	0	1	625.9607	0	103108
0	0	0	0	0	0	0	0	.	.	.	.	.	2	0	1	530.1707	1	103109
0	0	0	0	0	0	0	0	.	.	.	.	.	2	0	1	0	.	103110
0	1	1	1	1	1	1	1	.	.	.	.	.	2	1	1	0	0	103111
1	0	1	0	0	0	1	1	.	.	.	.	0	1	1	1	0	.	103112
.	.	.	.	.	.	.	.	.	.	.	.	0	1	1	1	0	.	103114
1	0	0	0	0	0	0	0	.	.	.	.	.	2	1	1	244.6891	0	103115
1	0	1	1	1	1	1	1	.	.	.	.	0	2	0	1	512.403	0	103116
0	0	0	0	0	1	1	1	.	.	.	.	0	1	1	0	343.6709	1	103117
1	0	0	0	0	.	.	.	1	1	1	1	.	2	1	0	617.781	1	103118
0	0	1	1	1	0	1	1	.	.	.	.	0	1	1	1	0	.	103119
0	0	0	1	1	1	1	0	.	.	.	.	.	2	0	1	637.8604	0	103122
0	0	0	0	0	.	0	0	.	.	.	.	.	2	1	1	631.8437	0	103124
.	.	.	.	.	.	.	.	1	1	1	1	0	2	1	0	230.4433	0	103125
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.	103126
1	1	1	1	1	1	1	1	.	.	.	.	.	1	0	1	597.6809	0	103127
.	.	.	.	.	.	.	.	1	1	1	1	.	1	1	0	237.2761	0	103128
1	0	0	1	0	1	1	1	.	.	.	.	.	1	0	1	715.4267	1	103129
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	103161
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	103162
0	.	.	.	.	.	.	.	1	1	1	1	.	2	1	0	195.5124	1	103203
1	1	0	0	0	1	0	0	1	1	1	1	.	2	1	0	293.3861	0	103204
1	1	.	0	0	1	0	1	1	1	1	1	.	2	0	0	149.6036	1	103205
0	0	1	0	0	0	0	0	1	1	1	1	.	2	0	0	49.4844	0	103210
0	0	0	0	0	0	0	0	1	1	1	1	.	2	1	0	50.2058	0	103212
.	.	.	.	.	.	.	.	.	.	.	.	.	2	.	.	339.3432	0	103213
.	.	1	0	0	0	0	0	.	.	.	.	0	1	0	1	0	.	103214
.	.	.	.	.	.	.	.	.	.	.	.	0	1	1	1	0	.	103215
.	.	.	.	0	.	.	.	.	.	.	.	0	1	1	0	0	.	103218
0	0	0	0	1	0	0	0	.	.	.	.	.	2	0	1	168.1911	0	103219
1	1	1	0	0	0	0	1	1	0	1	1	.	2	0	0	0	.	103221
1	0	0	0	0	0	0	1	1	1	1	1	.	1	0	0	181.8944	0	103223
0	0	0	1	1	1	1	1	.	.	.	.	.	1	0	1	339.2623	0	103225
0	1	1	0	0	0	0	1	.	.	.	.	.	2	1	1	194.0006	0	103226
.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	443.7056	0	103229
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	608.0924	0	103230
0	0	0	0	0	0	0	0	1	1	1	1	.	1	0	0	0	1	103231
1	0	1	1	0	1	1	0	.	.	.	.	0	1	1	1	0	.	103301
1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	.	103302
1	0	1	1	0	1	1	1	1	1	1	1	.	1	0	0	88.7832	0	103303
1	0	1	0	0	0	0	0	.	.	.	.	0	2	0	1	649.6462	0	103304
0	0	0	0	0	0	0	0	1	1	1	1	0	2	1	0	0	.	103305
1	0	0	0	0	1	0	0	.	.	.	.	.	1	1	1	718.0307	0	103306
1	0	0	0	0	0	0	0	1	1	1	1	.	1	0	0	0	.	103307
.	.	.	.	.	.	.	.	.	.	.	.	.	2	0	0	699.5995	0	103308
0	0	0	0	0	0	0	0	1	1	1	1	.	2	1	0	70.6853	0	103309
1	1	0	1	1	.	.	.	.	.	.	.	.	1	1	1	0	.	103310
.	.	.	.	.	.	.	.	.	.	.	.	0	2	0	1	0	.	103312
0	0	0	0	0	0	0	0	.	.	.	.	0	2	0	1	0	.	103313
1	1	1	0	0	1	1	1	1	1	1	1	.	2	1	0	71.3561	1	103314
1	0	0	1	1	1	0	0	1	1	1	1	.	2	1	0	767.5233	0	103315
1	1	1	1	0	1	1	1	1	1	1	1	.	2	1	0	664.5438	0	103316
0	0	1	.	.	1	1	1	1	1	1	1	.	1	1	0	89.5635	.	103317
0	0	1	0	0	0	0	0	.	.	.	.	.	2	0	1	630.7675	0	103318
1	0	1	0	0	1	0	1	1	1	1	0	.	1	1	0	123.8022	1	103319
1	0	0	0	0	0	0	0	1	1	1	1	.	2	1	0	200.8984	0	103320
1	0	1	0	0	.	.	.	.	.	.	.	.	2	0	1	0	.	103321
0	0	0	0	0	1	1	1	.	.	.	.	.	2	0	1	65.1736	0	103322
0	0	0	1	1	1	1	1	.	.	.	.	.	1	1	1	718.5093	0	103323
.	.	.	.	.	.	.	.	.	.	.	.	0	1	0	1	963.6372	0	103324
1	0	0	0	0	0	0	0	.	.	.	.	.	2	0	1	278.1432	0	104101
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	442.4978	0	104102
1	0	1	0	0	1	1	1	.	.	.	.	.	1	0	1	515.6016	1	104103
0	0	0	0	0	0	0	0	.	.	.	.	0	2	0	1	247.2592	1	104104
1	1	1	1	1	.	0	.	1	1	1	0	.	1	0	0	0	.	104105
