1168	2	130	2	3	5	.	1	0	1	0	1	2	2	3	2	2	2	2	2	2	2	3	0	0
1169	2	115	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1170	2	120	1	.	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.
1171	1	201	1	3	2	58.82	1	1	1	0	0	2	2	1	2	2	2	2	2	1	2	.	1	0
1172	2	111	1	1	2	57.45	1	0	0	0	0	2	2	2	2	2	3	2	3	2	2	2	1	1
1173	2	133	2	4	1	68.93	1	1	1	1	1	3	3	3	.	3	3	3	2	3	3	3	0	0
1174	2	140	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1175	2	115	1	1	3	52.84	0	0	0	0	0	3	1	1	2	3	3	2	2	2	1	2	1	1
1176	2	146	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1177	2	140	2	3	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1178	2	118	2	3	2	79.94	1	1	1	1	1	3	3	1	3	1	3	2	2	1	3	3	0	0
1179	1	224	2	3	2	64.65	0	0	0	0	0	2	3	1	3	1	3	3	3	2	2	.	0	0
1180	1	212	2	.	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1181	2	307	2	3	1	.	.	.	.	.	.	2	2	2	3	2	1	2	3	2	1	1	0	0
1182	1	241	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1183	2	302	1	3	2	64.94	1	1	1	0	0	.	3	3	2	3	1	2	1	3	3	3	1	0
1184	2	112	1	.	2	66.37	0	0	0	0	0	2	2	2	2	3	3	3	3	2	2	3	1	.
1185	1	247	2	3	5	80.55	1	1	1	0	1	3	3	2	3	2	2	3	1	3	2	.	0	0
1186	2	127	2	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1
1187	1	205	2	3	.	.	0	0	0	0	0	1	1	1	1	1	3	1	1	2	1	.	0	0
1188	1	215	1	3	2	70.59	0	1	1	0	0	2	1	1	2	2	1	1	1	2	1	.	1	0
1189	1	220	2	3	2	52.75	1	1	1	1	1	1	1	2	2	3	1	2	1	2	2	.	0	0
1190	2	129	2	3	2	82.85	0	0	0	0	0	2	2	1	2	3	1	2	1	2	2	2	0	0
1191	2	109	1	1	1	69.15	0	0	0	0	1	2	2	1	2	3	3	2	3	1	2	3	1	1
1192	1	229	1	3	3	56.75	1	0	0	0	0	2	2	1	3	3	3	3	1	2	2	.	1	0
1193	2	301	2	3	1	58.79	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1194	2	101	1	4	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1195	2	136	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1196	2	114	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1197	1	238	2	.	2	70.17	1	1	1	1	1	2	2	1	2	2	1	2	2	2	2	.	0	.
1198	2	121	2	3	3	66.24	0	0	0	0	0	2	1	3	2	2	1	3	1	2	2	3	0	0
1199	2	103	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1200	1	308	1	2	2	55.08	0	1	1	0	0	2	2	2	2	2	3	2	3	2	2	.	1	1
1201	1	229	1	3	2	66.97	0	1	1	0	1	3	1	2	2	2	1	2	3	3	2	.	1	0
1202	2	139	2	3	2	61.46	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1203	1	245	2	1	1	39	0	0	0	0	0	2	1	1	1	2	2	2	2	2	2	.	0	1
1204	1	241	1	3	2	66.32	1	1	1	0	1	3	2	3	3	3	3	3	3	3	3	.	1	0
1205	1	222	2	2	3	63.19	.	.	.	.	.	1	1	1	1	3	3	2	2	2	2	.	0	1
1206	1	230	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1207	1	237	1	3	4	68.59	1	0	0	0	1	2	2	2	2	2	2	2	2	2	2	.	1	0
1208	2	303	2	3	2	67.32	.	.	.	.	.	2	3	2	1	2	3	1	2	3	2	2	0	0
1209	2	132	1	.	2	81.33	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.
1210	1	216	2	3	2	39.36	0	0	0	0	0	1	1	2	2	1	1	1	2	3	2	.	0	0
1211	2	118	1	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.
1212	2	132	1	.	2	58.57	1	0	1	0	1	1	2	1	2	3	2	3	3	3	1	3	1	.
1213	1	226	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1214	2	112	1	.	5	82.21	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	.
1215	1	236	2	3	2	67.12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1216	1	214	1	3	5	63.86	1	0	1	0	0	1	1	1	1	1	1	1	1	2	1	.	1	0
1217	2	108	2	1	3	58.41	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1
1218	2	115	1	3	2	54.3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1219	2	302	1	3	1	54.98	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1220	1	240	2	2	1	65.93	0	0	0	0	0	1	1	2	2	2	2	2	2	2	2	.	0	1
1221	1	230	1	3	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1222	2	115	1	3	2	63.58	0	0	0	0	0	2	3	2	3	2	1	3	3	2	2	3	1	0
1223	2	130	1	3	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1224	1	309	1	3	2	60.43	0	1	1	0	0	2	2	3	2	3	2	2	3	2	2	.	1	0
1225	2	131	2	3	2	73.45	0	0	0	0	0	2	2	1	2	1	2	2	1	1	2	2	0	0
1226	1	246	2	2	2	.	1	1	1	1	1	1	1	2	3	2	3	3	1	2	2	.	0	1
1227	2	111	2	1	1	36.63	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1
1228	2	132	1	.	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.
1229	2	120	1	3	4	55.97	0	0	1	0	0	1	1	1	1	3	2	1	1	1	1	1	1	0
1230	1	218	2	3	2	.	1	0	1	1	1	2	3	2	3	2	1	3	1	3	3	.	0	0
1231	2	118	2	.	2	41.56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1232	2	131	2	4	.	78.18	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	0	0
1233	2	121	2	3	2	58.81	.	.	.	.	.	3	3	3	3	3	3	3	3	3	3	3	0	0
1234	2	146	2	1	2	63.37	1	.	0	0	0	2	3	1	3	2	3	2	2	2	2	2	0	1
1235	2	104	2	3	4	.	1	1	1	1	1	2	3	1	3	2	1	3	1	3	1	2	0	0
1236	2	111	2	4	2	74.02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1237	1	242	1	3	4	.	0	1	0	0	0	1	1	1	1	1	2	1	3	1	1	.	1	0
1238	2	110	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1239	1	238	2	3	2	77.54	.	.	.	.	.	1	2	2	2	2	2	2	2	2	2	.	0	0
1240	1	208	2	3	2	77.22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1241	1	211	2	1	3	.	1	0	1	0	0	1	3	2	3	2	3	3	2	2	2	.	0	1
1242	2	121	1	3	.	42.02	0	0	0	0	0	1	1	1	2	2	2	2	2	1	2	2	1	0
1243	1	206	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1244	2	147	2	3	2	66.62	1	0	1	0	0	3	1	1	1	3	.	1	3	3	1	1	0	0
1245	2	302	2	3	1	62.52	0	1	0	1	0	1	3	2	2	2	2	1	2	3	1	1	0	0
1246	1	201	1	3	2	.	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	.	1	0
1247	2	309	1	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1248	1	204	2	3	2	50.19	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	.	0	0
1249	1	233	2	.	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1250	2	104	1	3	2	62.96	1	0	0	0	0	2	1	1	1	2	2	1	3	2	2	3	1	0
1251	1	219	2	.	2	73.19	1	1	1	1	1	2	1	2	1	2	2	1	2	2	2	.	0	.
1252	2	130	1	1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1
1253	2	109	1	2	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1
1254	2	145	2	3	1	.	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
1255	1	216	1	3	2	56.85	0	0	0	0	0	2	1	1	1	2	2	1	3	1	2	.	1	0
1256	2	142	1	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1257	2	132	2	3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1258	1	204	1	3	2	54.11	0	0	1	1	1	2	2	2	2	2	2	2	2	2	2	.	1	0
1259	2	102	2	1	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	1
1260	2	308	1	2	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	1
1261	2	116	1	3	5	73.56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1262	1	246	2	3	2	71.33	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1263	1	238	1	3	.	61.28	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	0
1264	1	237	2	3	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
1265	1	204	1	3	2	67.71	1	1	1	0	0	1	2	1	2	1	1	2	1	1	1	.	1	0
1266	2	137	2	3	1	64.17	0	1	1	0	1	2	2	2	3	2	3	3	1	3	3	3	0	0
1267	1	208	2	.	2	77.25	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	.
1268	2	136	2	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0
